"","GO.ID","Term","Annotated","Significant","Expected","classic"
"18","GO:0009060","aerobic respiration",67,6,0.77,"0.00011"
"19","GO:0022904","respiratory electron transport chain",45,5,0.52,"0.00015"
"20","GO:0045333","cellular respiration",75,6,0.86,"0.00021"
"21","GO:0032507","maintenance of protein location in cell",11,3,0.13,"0.00023"
"22","GO:0045185","maintenance of protein location",11,3,0.13,"0.00023"
"23","GO:0022900","electron transport chain",50,5,0.57,"0.00026"
"24","GO:0044249","cellular biosynthetic process",2876,50,33.05,"0.00034"
"25","GO:0034641","cellular nitrogen compound metabolic process",2696,47,30.99,"0.00057"
"26","GO:0015980","energy derivation by oxidation of organic compounds",91,6,1.05,"0.00060"
"27","GO:0044237","cellular metabolic process",4397,67,50.53,"0.00068"
"28","GO:0042274","ribosomal small subunit biogenesis",62,5,0.71,"0.00070"
"29","GO:1901576","organic substance biosynthetic process",2963,50,34.05,"0.00073"
"30","GO:0042254","ribosome biogenesis",217,9,2.49,"0.00085"
"31","GO:0009058","biosynthetic process",2994,50,34.41,"0.00095"
"32","GO:0006613","cotranslational protein targeting to membrane",18,3,0.21,"0.00106"
"33","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",18,3,0.21,"0.00106"
"34","GO:0045859","regulation of protein kinase activity",21,3,0.24,"0.00169"
"35","GO:0022613","ribonucleoprotein complex biogenesis",292,10,3.36,"0.00187"
"36","GO:0006414","translational elongation",23,3,0.26,"0.00221"
"37","GO:0043549","regulation of kinase activity",23,3,0.26,"0.00221"
"38","GO:0051651","maintenance of location in cell",23,3,0.26,"0.00221"
"39","GO:0009987","cellular process",8030,100,92.29,"0.00244"
"40","GO:0006091","generation of precursor metabolites and energy",121,6,1.39,"0.00263"
"41","GO:0045047","protein targeting to ER",26,3,0.3,"0.00316"
"42","GO:0051235","maintenance of location",26,3,0.3,"0.00316"
"43","GO:0072599","establishment of protein localization to endoplasmic reticulum",26,3,0.3,"0.00316"
"44","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",27,3,0.31,"0.00353"
"45","GO:0051338","regulation of transferase activity",30,3,0.34,"0.00478"
"46","GO:0031399","regulation of protein modification process",62,4,0.71,"0.00551"
"47","GO:0006612","protein targeting to membrane",32,3,0.37,"0.00574"
"48","GO:0001932","regulation of protein phosphorylation",35,3,0.4,"0.00739"
"49","GO:0042255","ribosome assembly",36,3,0.41,"0.00799"
"50","GO:0042325","regulation of phosphorylation",38,3,0.44,"0.00929"
"53","GO:0030490","maturation of SSU-rRNA",39,3,0.45,"0.00998"
"56","GO:0043170","macromolecule metabolic process",4099,59,47.11,"0.01153"
"59","GO:0033365","protein localization to organelle",174,6,2,"0.01490"
"60","GO:0008152","metabolic process",5346,72,61.44,"0.01898"
"61","GO:0051246","regulation of protein metabolic process",189,6,2.17,"0.02150"
"63","GO:0006807","nitrogen compound metabolic process",4496,62,51.67,"0.02480"
"65","GO:0044085","cellular component biogenesis",832,16,9.56,"0.02736"
"66","GO:0090150","establishment of protein localization to membrane",57,3,0.66,"0.02756"
"67","GO:0019220","regulation of phosphate metabolic process",58,3,0.67,"0.02883"
"68","GO:0051174","regulation of phosphorus metabolic process",58,3,0.67,"0.02883"
"69","GO:0140694","non-membrane-bounded organelle assembly",103,4,1.18,"0.03061"
"72","GO:0042273","ribosomal large subunit biogenesis",60,3,0.69,"0.03146"
"74","GO:0022618","protein-RNA complex assembly",107,4,1.23,"0.03452"
"75","GO:0051668","localization within membrane",112,4,1.29,"0.03980"
"76","GO:0071826","protein-RNA complex organization",112,4,1.29,"0.03980"
"77","GO:0071840","cellular component organization or biogenesis",1923,30,22.1,"0.04027"
"80","GO:0071705","nitrogen compound transport",549,11,6.31,"0.04990"
