"","GO.ID","Term","Annotated","Significant","Expected","classic"
"20","GO:0005783","endoplasmic reticulum",476,15,5.45,"0.00033"
"21","GO:0005743","mitochondrial inner membrane",156,8,1.79,"0.00041"
"22","GO:0098803","respiratory chain complex",56,5,0.64,"0.00043"
"23","GO:0070469","respirasome",57,5,0.65,"0.00047"
"24","GO:0098796","membrane protein complex",440,14,5.04,"0.00048"
"25","GO:0019866","organelle inner membrane",167,8,1.91,"0.00064"
"26","GO:0031090","organelle membrane",937,22,10.72,"0.00083"
"27","GO:0098800","inner mitochondrial membrane protein complex",68,5,0.78,"0.00106"
"28","GO:0031966","mitochondrial membrane",206,8,2.36,"0.00246"
"29","GO:0005740","mitochondrial envelope",225,8,2.57,"0.00423"
"32","GO:1902554","serine/threonine protein kinase complex",47,3,0.54,"0.01643"
"33","GO:0098798","mitochondrial protein-containing complex",130,5,1.49,"0.01660"
"34","GO:0005789","endoplasmic reticulum membrane",288,8,3.3,"0.01736"
"35","GO:0031967","organelle envelope",291,8,3.33,"0.01836"
"36","GO:0031975","envelope",291,8,3.33,"0.01836"
"37","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",291,8,3.33,"0.01836"
"38","GO:0098827","endoplasmic reticulum subcompartment",292,8,3.34,"0.01870"
"41","GO:1902911","protein kinase complex",52,3,0.6,"0.02149"
"43","GO:1902494","catalytic complex",858,16,9.82,"0.03468"
"45","GO:1990204","oxidoreductase complex",68,3,0.78,"0.04277"
