"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001001474.2",141.703921725999,0.248254937367054,0.364594377300209,0.868804141972277,0.832948802723429,0.986214924631128
"NM_001001475.1",126.095259180718,-0.413159798583045,0.30069576433642,3.33113049252572,0.343333308882279,0.788820346351663
"NM_001001476.1",1.95909200477575,-3.20718933994074,2.03246103877721,4.78480664161096,0.188250074382604,NA
"NM_001001768.2",34.7221699170852,-0.377357345809295,0.442413984412741,3.42265059214994,0.330933508222168,0.781023361335361
"NM_001005725.1",16.8727750592269,-0.0817630501872691,0.724765911082147,1.97903926913972,0.57676856113555,0.916898759530038
"NM_001009577.1",0.665733112338736,-1.40253886306187,4.88589753186916,0.476887613358713,0.923938958159891,NA
"NM_001011728.2",6.83802833912164,0.0732593767171878,0.875992612868692,1.03416922815609,0.79298479490015,NA
"NM_001012702.1",1.31895738540062,0.832192234663049,3.02299060210074,2.41939621935511,0.490034235822948,NA
"NM_001012703.1",0.545377739571486,-0.534680226485133,4.87269436373525,0.15788132775554,0.984083855679578,NA
"NM_001015510.1",6.71401669402918,-0.0519926415068976,1.2479694706412,0.0229676623094264,0.999080602023343,NA
"NM_001025211.1",5.54559991323182,-0.344348617095587,0.956919916828375,0.727471020914408,0.866724248074289,NA
"NM_001025213.1",0.986944808534238,-0.89055650755607,3.02057886605872,1.00377787049917,0.80033782392456,NA
"NM_001032368.2",58.8798068292262,0.10710026961376,0.989651810762918,2.31740011737409,0.509195704625916,0.88970214067525
"NM_001032369.2",18.008566250037,-4.76403744211895,4.69098793627045,1.83013255349085,0.608399810068382,0.923950979445016
"NM_001032370.1",5.14749817444612,-1.82582521725208,2.59212107121231,0.690700035971773,0.875389184268191,NA
"NM_001032371.2",320.869924966594,-0.101625751801578,0.277632595038206,9.56519882267588,0.0226477749753326,0.226037512226808
"NM_001033012.2",1.60267347858581,-0.133342587785985,1.70288541026839,2.17782241534107,0.536329863807494,NA
"NM_001033524.1",109.205769314026,0.0949525051618592,0.300339140861905,2.90290100926252,0.406839478919439,0.831125213124106
"NM_001033647.1",93.774958426665,-0.268435434391986,0.418689282255205,2.29582374051935,0.51332143953111,0.891231838193943
"NM_001033648.1",1.42467115820178,1.69194576238334,2.13015219686783,2.02518054557333,0.567196871848439,NA
"NM_001033650.1",3.48152242577898,2.16737400415305,1.36196090193863,3.28718712789188,0.349429942972436,NA
"NM_001033651.1",23.6182117584574,0.595940232044958,0.717195334335338,8.64584229379608,0.0343897263795832,0.280768419788081
"NM_001033949.1",3.55097189424692,-1.88015655351565,1.29045360781131,2.11946195002175,0.547985523704748,NA
"NM_001033950.1",13.4152240660332,2.0809632438634,0.859239114276003,8.4182243649046,0.038114599717585,NA
"NM_001037630.1",54.4745495005822,0.0382689696113617,0.543374585682443,3.84381899427727,0.278830223322996,0.739652389193779
"NM_001040015.1",836.714577699958,0.650412456380036,0.404917686893227,3.22501794071698,0.358215831834591,0.798330721958427
"NM_001040405.1",8.76204573512491,-0.43250453186361,0.705489413052647,1.87680386656227,0.598365823844741,NA
"NM_001079541.1",0.494791017870382,0.22625599325032,4.92120768778368,0.499398032475412,0.919023641381618,NA
"NM_001079542.1",85.8741631338732,-0.24621006028946,0.404926499887297,3.01043376421059,0.39001929087165,0.817731008674182
"NM_001079545.1",3.24558676538724,-0.199578176930497,1.54837028373689,3.14049559641699,0.370466655613199,NA
"NM_001079553.1",34.0730462061838,0.308088240056044,0.417154425997986,4.78101312991555,0.18855290650618,0.641360106277714
"NM_001079557.2",30.1117421265836,-1.75287663949128,1.58263875798004,4.07927057888931,0.253030585711296,0.718215194454484
"NM_001081967.1",0.723946611483109,-2.17701200882996,4.82583131069273,0.506151538343602,0.917537881922593,NA
"NM_001098446.1",20.3826588189115,0.493672978408705,0.730045602316875,6.78228549631712,0.079170512810666,0.436571527086023
"NM_001098451.1",0.584077939357574,1.22232287569601,4.91088734433145,0.222179673635026,0.97393172931048,NA
"NM_001098454.1",76.3047104174784,0.149512151971712,0.435755244121344,0.157439997858788,0.984148465638473,1
"NM_001098458.1",8.29071354265762,0.429784259072351,0.720145842551495,0.550252676351505,0.907720261797567,NA
"NM_001098459.1",1.67186679041664,-1.18052220888096,3.3554994392021,2.15272627721089,0.541319739040912,NA
"NM_001113236.1",9.34602863724258,0.623890333183188,1.08475674427693,3.2155427670003,0.359571549355862,NA
"NM_001123496.1",9.25940600691107,-1.19352053728819,0.766026341934805,3.90486269512515,0.271922189727959,NA
"NM_001123497.1",3104.79712147995,-0.82476523089802,0.215846374809773,23.0783938470395,3.88917602779746e-05,0.00268237051111225
"NM_001123498.1",136.433207060783,-0.579934831626888,0.279764602969517,14.5750919300971,0.00221823686630798,0.0557090899957021
"NM_001123499.1",2.55726613386893,-0.695227173300277,3.56311855643621,0.572730721554557,0.902645673709184,NA
"NM_001123500.1",2.56450107180671,-0.339543552633003,1.81219235656092,0.141850982200459,0.986380509631474,NA
"NM_001123501.1",28.6876140798061,-0.0403730963495304,0.402999957045554,3.97663967770688,0.263997696472629,0.72788386360383
"NM_001123502.1",231.086354803541,-0.268391029002757,0.174082432454406,10.1733154315414,0.0171489109667982,0.1942282293568
"NM_001123503.1",55.5771600992092,0.771521118553407,0.573695171616151,2.03769961544519,0.564618993801417,0.916118107568942
"NM_001123506.1",5.02573738296832,-1.17716237590146,1.16857807780509,1.84047171915878,0.606167685832655,NA
"NM_001123507.1",2.10966789680113,1.8586627262352,1.79549525054682,2.43815530344469,0.486571547026996,NA
"NM_001123508.1",321.491094413638,0.425185398138308,0.546424423021599,2.42773291115458,0.488493029606886,0.877518054139757
"NM_001123510.1",165.141433236017,0.306289011645057,0.564013050273603,7.70338267160488,0.0525566387121056,0.34941502436672
"NM_001123512.1",193.633651489464,-0.479257486481288,0.200105152211438,7.96867165959671,0.0466636246531489,0.329498507197299
"NM_001123513.2",2.06408344882832,1.17810380586512,2.14426724411575,0.835154869540581,0.841041277582593,NA
"NM_001123514.1",48.3517191873834,-0.473172277329198,0.434987163718513,1.64632590993185,0.648931936475146,0.941633768006286
"NM_001123517.1",252.128782721008,1.19261375705138,0.48678991940576,8.3217533485699,0.0398096430811323,0.300588824637112
"NM_001123521.1",5.55650453336218,0.286715730250124,1.65641027847317,1.48189144880271,0.686456036751568,NA
"NM_001124757.1",154.235620850458,-0.0980031846171589,0.284142424564506,11.0362307571655,0.011531566724359,0.148486924885849
"NM_001124761.1",1606.0974212695,-0.0082177094126169,0.218816217740799,1.42409969066256,0.699895480429437,0.956007087132748
"NM_001124762.1",2.78676531357715,0.0243919583519727,1.8335157316243,4.02839904108054,0.258413830523806,NA
"NM_001124764.1",0.545621054545632,-1.48280507135737,4.81050739773302,0.458098435235293,0.927995706361945,NA
"NM_001124766.1",6.68526203797417,0.20934159937524,0.749860804471796,5.55835261345931,0.135189844896297,NA
"NM_001128067.1",20.855038230287,-1.25228436797035,0.628521483843951,8.73339276614719,0.0330538426697519,0.275146126728528
"NM_001129806.1",0.668883465035974,-0.160664614776153,3.98605339827622,-0.425284921470166,1,NA
"NM_001129807.2",1.0142077809481,0.653985303446162,2.33992141762895,0.301777243475932,0.959693882951211,NA
"NM_001129809.1",32.894408282932,-1.01280847343678,0.566477781571741,4.36865496681099,0.224309457844111,0.689321961635606
"NM_001129811.2",4.0373953100341,-0.990805500078567,1.09270630626655,1.49006832661798,0.684564445200866,NA
"NM_001129813.1",2.62187115638435,0.184159582777509,1.58793304566407,0.174651336853017,0.981573812668626,NA
"NM_001129814.1",390.986543927595,-1.08131998636739,0.194959613725066,42.9174419489327,2.56235966779041e-09,1.3156293360955e-06
"NM_001129815.1",48.1824225506787,-0.816044223934266,0.467414103222547,3.53448973066142,0.316316391260793,0.768436015487315
"NM_001142378.1",0.833795146883857,2.84467903240999,4.61874510331684,0.31275383854932,0.957612250751322,NA
"NM_001142379.1",16.3769036318742,-1.23140485508403,0.513237049709601,18.128884505847,0.000413731295721915,0.0160659858616048
"NM_001145493.1",37.7642527199444,0.586184916822197,0.374342866673787,4.30941655391774,0.229932976829646,0.699413307353478
"NM_001145494.1",1.79938759834685,-0.27771553627191,4.50032997374123,0.312716978190579,0.957619283879299,NA
"NM_001146194.1",1.04416775064575,-1.12432440443066,3.43079938361953,0.199438535251254,0.977679886457244,NA
"NM_001146195.2",2.06428519832993,-1.25522915694541,1.70869191579174,3.94408238975554,0.267565872508076,NA
"NM_001161437.2",6.90483223491391,-2.4343790838735,1.25132263108161,4.95206730587455,0.175340847799879,NA
"NM_001161438.1",1.51691678590129,-0.130337498223633,2.37229841502303,1.13561488813022,0.768484201080939,NA
"NM_001165990.1",12.3243886704353,-3.38051234326253,1.60894637838996,6.47927949512906,0.0904832610442142,NA
"NM_001170815.2",7.61250043734049,1.62050062490047,0.812845990963019,7.90094100217501,0.0481039394178686,NA
"NM_001172052.1",0.835840327127263,-1.65166201371386,2.63177895456046,0.617364504559788,0.892445914265072,NA
"NM_001185052.1",2.07398099253067,-3.88896008311052,1.78982339660409,9.80471980373782,0.0203011510997576,NA
"NM_001199949.1",8.50491907088719,-1.14093171726188,1.65691353431308,5.3188310837707,0.149885127186945,NA
"NM_001202491.1",17.2921396812235,-1.85548809335251,0.670158067625886,12.438411251921,0.00602275758802193,0.103679224382726
"NM_001204313.1",0.769419166406225,-3.68089284286728,4.80079850274059,0.858504834179083,0.835428203061679,NA
"NM_001242650.1",975.569379145589,0.432942049013458,0.147396067050863,41.4905550271049,5.14597714716685e-09,2.16177821791437e-06
"NM_001242655.1",5.85833092749643,0.904746805113146,0.802888642331967,1.62621601929814,0.653460230009854,NA
"NM_001242664.1",42.2194885717376,0.000455853700926591,0.724258215475993,3.30146757307178,0.347438438111989,0.788949888214005
"NM_001242666.1",31.321437548373,1.11109287282766,0.729546881707817,5.09521388579265,0.164956415854631,0.610366347004778
"NM_001242667.1",85.5762688146772,0.725266215963858,0.336010717048385,5.96251632496946,0.113448196919202,0.521635938272269
"NM_001242669.1",2.95178157480439,0.383318723254432,1.52335731133374,0.517400127663279,0.915052383718482,NA
"NM_001242685.1",0.868160688873848,2.14778008261702,4.67275661219703,0.323898927052454,0.955472822658193,NA
"NM_001242686.1",2.73083373722815,-0.786126192852893,1.80544536764951,1.57693747508952,0.664630323915469,NA
"NM_001242687.1",48.2537740540203,0.165513570808899,0.582449309427827,0.287653384521548,0.962333570711207,0.999011202173313
"NM_001242703.1",1.11861611253954,-1.4339264071944,4.84052296189132,0.346701421038084,0.951018648545108,NA
"NM_001245971.1",0.822685252951811,2.43780964131979,4.63661427558091,0.981096223104892,0.805825979978351,NA
"NM_001245973.1",5.66038191395661,0.279754152039633,0.888596488715048,0.36396703173854,0.947581219364381,NA
"NM_001252084.1",4.93955738477755,2.54703141169378,1.2082803656669,4.34942488431953,0.226120939584624,NA
"NM_001256061.1",1.7223539499943,0.646194692584904,1.82074084960767,1.89304950064172,0.594898559718394,NA
"NM_001281751.1",5.70543407890055,2.27349238058408,1.05453567828886,4.3305500014138,0.227912052859942,NA
"NM_001281761.1",1.16829166204083,-4.1697380171721,4.33304754595828,0.0144413179919525,0.999540433572901,NA
"NM_001291301.1",13.1542879781759,0.642778449375969,0.64271480247577,1.55749850110668,0.669064672989963,NA
"NM_001349028.1",67.1251697327083,-0.100893066107303,0.500330428123567,1.29096650769063,0.731279278352506,0.966121723884779
"NM_001349029.1",18.7056748402355,-0.715298342832475,0.5994699464514,2.38225832521515,0.496945774435623,0.881192027500773
"NM_001366342.1",142.436510151243,0.0613333179793106,0.295456087357929,1.884146265884,0.596797116973125,0.92062780454159
"NM_001367980.1",427.108483600968,0.535286210112204,0.561236550754942,1.09939050845506,0.77722121933929,0.975520431465637
"NM_214463.1",15.4426339586314,-0.211962489125297,0.555341738762332,4.55977151163199,0.207020367939511,0.66652380758893
"NM_214465.2",112.608936696788,-0.284145389435052,0.385828441080499,9.75553516639998,0.0207626733985838,0.217560802210558
"NM_214466.1",24.4213986135355,0.0733365673012198,0.613766114245632,0.657064229655958,0.88325331796644,0.993180764392797
"NM_214468.1",13.1324882883719,-0.125936094849752,0.631813102682044,0.680720780665382,0.877728972893486,NA
"NM_214470.2",30.8458359070394,-0.0640659437822384,0.643096124244035,0.866212685329828,0.83357284458269,0.986214924631128
"NM_214472.2",1.92258876524737,-1.33378155974786,4.81459980955974,0.691772531921558,0.875137405608482,NA
"NM_214473.1",3.83603836500783,0.00770346778274572,0.948167398866948,2.58237485704795,0.460587843819962,NA
"NM_214474.1",2.81787698726061,-2.46289249642891,1.50575787128118,10.2325369404012,0.0166894726215758,NA
"NM_214476.1",0.513832432517476,-1.0562215634996,4.85530774844694,0.307531610418589,0.958605819934225,NA
"NM_214477.1",16.8616250359083,1.22162807783045,0.848947388025805,3.69933130942037,0.295814726947037,0.751595073856289
"NM_214478.2",189.16732841986,-0.864232720173299,0.306195378593775,9.53611970705859,0.0229501957415165,0.227581232878858
"NM_214488.2",1.40459026507717,2.47185930781368,2.20946354091749,3.1410951430305,0.370378502471949,NA
"NM_214489.1",2.96841634279655,1.70995687877718,2.13285937321834,1.36321508628328,0.714179511137945,NA
"NM_214490.1",2.1366410767605,-0.317140928563094,1.96364733028801,0.198421118169151,0.977843779990988,NA
"NM_214491.2",1.19129533723804,2.94002501201331,4.87397100721036,0.632928254605861,0.888854536018508,NA
"NM_214494.1",4.63782245183666,-0.274870116223779,0.934368221738689,3.93876229061718,0.268153074264947,NA
"NM_214495.1",16.2165513574967,-0.11657516179343,0.47051583813154,3.15046855690591,0.369002641930486,0.803354909851043
"NM_214496.1",3.31234633052419,-1.19717835704633,1.21002921619791,2.50462074763316,0.474456589543688,NA
"NM_214499.1",448.355415810285,-0.655707629189111,0.536932970295931,2.23366922306207,0.525347067016064,0.896946487639238
"NM_214500.1",23.3600212767155,-0.142909727082455,0.553103616832132,2.31131514957661,0.510356691212356,0.890955145482545
"NM_214501.1",0.70240063079519,-2.54102863962161,4.83484050828478,0.60600190229929,0.89505701087825,NA
"NM_214504.2",17.375529150204,1.0567455433534,0.87459120420713,3.63858438722056,0.303227965667251,0.759059118641487
"NM_214507.1",68.7576780712262,1.15773912470831,0.616294938628728,5.92213044644278,0.115460823944305,0.527739334764227
"NM_214508.2",2.20284268211031,2.06869800294688,2.23107713006589,3.03648046541651,0.386034733972637,NA
"NM_214510.1",0.856537566007884,0.608073542520195,3.79437003162236,0.343539962252422,0.951642154329638,NA
"NM_214511.1",51.0506707408682,0.899565742919347,0.399048327348104,7.38303750204521,0.0606411171851127,0.378248715332071
"NM_214512.1",403.400425752038,-1.06558389679584,0.378031187511624,9.06876193050849,0.0283904920646074,0.255735796940645
"NM_214515.2",10.0048577111455,-0.781843854522837,0.658179333145426,6.11391211873605,0.106197778459454,NA
"NM_214519.1",33.4113973754307,-0.260139375802908,0.499561074134517,2.45223957668932,0.483984325538057,0.874996701217277
"NM_214520.1",1.39121673137429,1.76647446238419,2.14445428325266,0.830362530171371,0.842191775059459,NA
"NM_214521.1",16.6979794499967,0.196282287520863,0.687226525794124,3.75801837202636,0.288807206986088,0.744915286770024
"NM_214523.1",2.24330497589955,-2.03141353052543,1.64580460284326,2.89464069023112,0.408156381947698,NA
"NM_214524.1",6.73259768042031,0.595939970727225,1.3249536217907,1.78540521410804,0.618116063332117,NA
"NM_214530.1",20.8339019160647,0.29981503540244,0.484902572038477,1.14833057890149,0.765421528628964,0.972223037111675
"NM_214531.1",2335.14511197989,-0.776313873513107,0.373286308577683,9.41382788164086,0.0242659800553662,0.233610612158015
"NM_214532.1",11.4644426091766,0.305160740842983,0.602792949201762,5.73083952069923,0.125465578549109,NA
"NM_214533.1",1.31629207958491,-1.30079198758369,2.80726796855662,1.09790447470448,0.777579975720963,NA
"NM_214534.1",3.02088851011111,0.68984830591565,1.32292951323171,1.46359890958357,0.690696800447861,NA
