Library	Temp	DI	Num_DI	Simple_DI	Replicate	System
317-R2-15-L_S19.quant	15	L	1	1	2	152
323-R1-15-L_S11.quant	15	L	1	1	1	151
347-R2-15-L_S20.quant	15	L	1	1	2	152
353-R1-15-L_S3.quant	15	L	1	1	1	151
375-R2-15-L_S32.quant	15	L	1	1	2	152
402-R1-15-L_S12.quant	15	L	1	1	1	151
417-R1-15-L_S40.quant	15	L	1	1	1	151
508-R2-15-L_S33.quant	15	L	1	1	2	152
315-R1-18-L_S8.quant	18	L	1	1	1	181
316-R1-18-L_S16.quant	18	L	1	1	1	181
331-R1-18-L_S6.quant	18	L	1	1	1	181
338-R2-18-L_S5.quant	18	L	1	1	2	182
339-R2-18-L_S22.quant	18	L	1	1	2	182
361-R2-18-L_S23.quant	18	L	1	1	2	182
389-R2-18-L_S24.quant	18	L	1	1	2	182
433-R2-18-L_S39.quant	18	L	1	1	2	182
459-R2-18-L_S38.quant	18	L	1	1	2	182
319-R2-15-M_S34.quant	15	M	2	3	2	152
325-R1-15-M_S13.quant	15	M	2	3	1	151
349-R2-15-M_S35.quant	15	M	2	3	2	152
313-R1-18-M_S30.quant	18	M	2	3	1	181
321-R2-15-H_S7.quant	15	H	3	3	2	152
329-R1-15-H_S9.quant	15	H	3	3	1	151
351-R2-15-H_S31.quant	15	H	3	3	2	152
359-R1-15-H_S25.quant	15	H	3	3	1	151
379-R2-15-H_S17.quant	15	H	3	3	2	152
387-R1-15-H_S26.quant	15	H	3	3	1	151
431-R2-15-H_S18.quant	15	H	3	3	2	152
471-R1-15-H_S10.quant	15	H	3	3	1	151
495-R1-15-H_S27.quant	15	H	3	3	1	151
307-R2-18-H_S1.quant	18	H	3	3	2	182
309-R1-18-H_S28.quant	18	H	3	3	1	181
337-R1-18-H_S14.quant	18	H	3	3	1	181
345-R2-18-H_S4.quant	18	H	3	3	2	182
373-R1-18-H_S15.quant	18	H	3	3	1	181
425-R1-18-H_S2.quant	18	H	3	3	1	181
451-R1-18-H_S29.quant	18	H	3	3	1	181
465-R2-18-H_S36.quant	18	H	3	3	2	182
489-R2-18-H_S37.quant	18	H	3	3	2	182
