,Beaker,Stage.x,Treatment,mean.blast.per.mL,blast.se.prop,MatePair,Stage.y,mean.plut.per.mL,plut.se.prop,prop_survival,prop_2control
1,A_B1,Blastula,Control,29.8,1.233333333,Pair 1,Pluteus,14.2,1.30341432,-0.523489933,0
2,A_B2,Blastula,100 ppb,39.6,1.323295549,Pair 1,Pluteus,13.4,0.66749948,-0.661616162,-0.138126229
3,A_B3,Blastula,500 ppb,36,1.699673171,Pair 1,Pluteus,15.2,0.99107125,-0.577777778,-0.054287845
4,A_B4,Blastula,1000 ppb,19.2,0.933333333,Pair 1,Pluteus,10.8,0.819213715,-0.4375,0.085989933
5,A_B5,Blastula,Control,22,1.201850425,Pair 2,Pluteus,8.6,0.7,-0.609090909,0
6,A_B6,Blastula,100 ppb,18.4,1.380821012,Pair 2,Pluteus,5,0.372677996,-0.72826087,-0.11916996
7,A_B7,Blastula,500 ppb,16.8,0.520683312,Pair 2,Pluteus,3.8,0.546707316,-0.773809524,-0.164718615
8,A_B8,Blastula,1000 ppb,16.8,0.520683312,Pair 2,Pluteus,0,0,-1,-0.390909091
9,B_B10,Blastula,100 ppb,20.2,1.277584526,Pair 3,Pluteus,13.2,0.89690827,-0.346534653,-0.127784653
10,B_B11,Blastula,500 ppb,21.2,1.292714629,Pair 3,Pluteus,14,1.264911064,-0.339622642,-0.120872642
11,B_B12,Blastula,1000 ppb,13.8,1.159022577,Pair 3,Pluteus,13.2,1.03494498,-0.043478261,0.175271739
12,B_B13,Blastula,Control,15.8,0.657436097,Pair 4,Pluteus,9,0.542627353,-0.430379747,0
13,B_B14,Blastula,100 ppb,15.6,0.853749898,Pair 4,Pluteus,2.8,0.371184291,-0.820512821,-0.390133074
14,B_B15,Blastula,500 ppb,14.8,0.561743318,Pair 4,Pluteus,9.2,1.045625809,-0.378378378,0.052001368
15,B_B16,Blastula,1000 ppb,9.6,0.611010093,Pair 4,Pluteus,11.8,0.622718056,0.229166667,0.659546414
16,B_B9,Blastula,Control,19.2,1.4,Pair 3,Pluteus,15,1.118033989,-0.21875,0
