Stage,BeakerID,MatePair,Treatment,abn_count,total
Blastula,A_B1,1,Control,11,65
Blastula,A_B2,1,100ppb,3,20
Blastula,A_B3,1,500ppb,25,106
Blastula,A_B4,1,1000ppb,23,99
Blastula,A_B5,2,Control,45,71
Blastula,A_B6,2,100ppb,46,67
Blastula,A_B7,2,500ppb,66,79
Blastula,A_B8,2,1000ppb,79,79
Blastula,B_B9,3,Control,17,89
Blastula,B_B10,3,100ppb,6,100
Blastula,B_B11,3,500ppb,11,103
Blastula,B_B12,3,1000ppb,5,71
Blastula,B_B13,4,Control,10,100
Blastula,B_B14,4,100ppb,15,97
Blastula,B_B15,4,500ppb,20,84
Blastula,B_B16,4,1000ppb,9,67
