Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,abnormality_type
Blastula,A_B1,1,Control,A_blastula_b1_0027,27,packed
Blastula,A_B1,1,Control,A_blastula_b1_0029,29,packed
Blastula,A_B1,1,Control,A_blastula_b1_0029,31,packed
Blastula,A_B1,1,Control,A_blastula_b1_0030,32,packed
Blastula,A_B1,1,Control,A_blastula_b1_0031,39,packed
Blastula,A_B1,1,Control,A_blastula_b1_0032,41,packed
Blastula,A_B1,1,Control,A_blastula_b1_0033,45,packed
Blastula,A_B1,1,Control,A_blastula_b1_0034,47,packed
Blastula,A_B1,1,Control,A_blastula_b1_0036,50,packed
Blastula,A_B1,1,Control,A_blastula_b1_0039,63,delayed
Blastula,A_B1,1,Control,A_blastula_b1_0040,64,packed
Blastula,A_B2,1,100ppb,A_blastula_b2_0004,3,delayed
Blastula,A_B2,1,100ppb,A_blastula_b2_0011,10,packed
Blastula,A_B2,1,100ppb,A_blastula_b2_0012,12,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0002,1,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0005,4,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0009,9,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0012,12,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0023,25,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0026,28,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0028,31,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0029,32,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0032,37,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0033,38,delayed
Blastula,A_B3,1,500ppb,A_blastula_b3_0036,41,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0038,44,delayed
Blastula,A_B3,1,500ppb,A_blastula_b3_0042,49,delayed
Blastula,A_B3,1,500ppb,A_blastula_b3_0056,72,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0061,79,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0063,81,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0063,82,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0065,86,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0066,87,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0069,91,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0072,95,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0073,96,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0078,101,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0079,102,packed
Blastula,A_B3,1,500ppb,A_blastula_b3_0080,104,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0003,2,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0008,8,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0008,9,delayed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0012,17,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0018,23,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0024,29,delayed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0026,32,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0027,33,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0028,35,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0038,50,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0040,53,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0041,56,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0043,60,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0046,66,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0048,72,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0049,74,delayed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0053,78,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0056,81,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0058,83,delayed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0061,86,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0063,88,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0070,97,packed
Blastula,A_B4,1,1000ppb,A_blastula_b4_0072,99,packed
Blastula,A_B5,2,Control,A_blastula_b5-0002,1,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0003,2,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0003,3,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0004,5,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0005,7,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0006,8,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0007,9,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0012,14,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0012,15,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0013,16,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0015,18,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0016,19,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0016,20,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0017,23,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0018,25,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0019,26,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0020,27,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0021,30,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0022,31,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0023,32,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0024,33,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0027,37,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0027,40,packed
Blastula,A_B5,2,Control,A_blastula_b5-0028,42,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0028,43,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0029,44,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0029,45,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0030,46,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0031,47,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0032,48,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0034,50,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0037,53,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0039,55,packed
Blastula,A_B5,2,Control,A_blastula_b5-0040,56,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0040,57,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0041,59,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0042,60,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0043,61,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0044,62,packed
Blastula,A_B5,2,Control,A_blastula_b5-0045,63,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0047,65,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0051,69,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0053,71,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0055,73,delayed
Blastula,A_B5,2,Control,A_blastula_b5-0056,74,packed
Blastula,A_B6,2,100ppb,A_blastula_b6-0003,2,packed
Blastula,A_B6,2,100ppb,A_blastula_b6-0003,4,delayed
Blastula,A_B6,2,100ppb,A_blastula_b6-0004,5,packed
Blastula,A_B6,2,100ppb,A_blastula_b6-0005,6,delayed
Blastula,A_B6,2,100ppb,A_blastula_b6-0006,7,delayed
Blastula,A_B6,2,100ppb,A_blastula_b6-0007,8,packed
Blastula,A_B6,2,100ppb,A_blastula_b6-0007,9,delayed
Blastula,A_B6,2,100ppb,A_blastula_b6-0010,13,packed
Blastula,A_B6,2,100ppb,A_blastula_b6-0011,14,delayed
Blastula,A_B6,2,100ppb,A_blastula_b6-0012,15,packed
Blastula,A_B6,2,100ppb,A_blastula_b6-0013,17,delayed
