Stage,BeakerID,MatePair,Treatment,SampleID,PhotoID,Horizontal(mm)
Blastula,A_B1,1,Control,A_blastula_b1-0002,1,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0003,2,0.090
Blastula,A_B1,1,Control,A_blastula_b1-0004,3,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0005,4,0.091
Blastula,A_B1,1,Control,A_blastula_b1-0006,5,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0007,6,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0008,7,0.085
Blastula,A_B1,1,Control,A_blastula_b1-0022,22,0.089
Blastula,A_B1,1,Control,A_blastula_b1-0025,25,0.078
Blastula,A_B1,1,Control,A_blastula_b1-0026,26,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0027,27,0.094
Blastula,A_B1,1,Control,A_blastula_b1-0028,28,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0029,30,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0030,32,0.089
Blastula,A_B1,1,Control,A_blastula_b1-0030,33,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0030,34,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0030,35,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0031,36,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0031,37,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0031,38,0.089
Blastula,A_B1,1,Control,A_blastula_b1-0032,40,0.092
Blastula,A_B1,1,Control,A_blastula_b1-0032,42,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0033,43,0.090
Blastula,A_B1,1,Control,A_blastula_b1-0033,44,0.089
Blastula,A_B1,1,Control,A_blastula_b1-0033,46,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0034,48,0.091
Blastula,A_B1,1,Control,A_blastula_b1-0035,49,0.089
Blastula,A_B1,1,Control,A_blastula_b1-0036,51,0.086
Blastula,A_B1,1,Control,A_blastula_b1-0037,52,0.089
Blastula,A_B1,1,Control,A_blastula_b1-0038,53,0.083
Blastula,A_B1,1,Control,A_blastula_b1-0038,54,0.086
Blastula,A_B1,1,Control,A_blastula_b1-0038,55,0.084
Blastula,A_B1,1,Control,A_blastula_b1-0038,56,0.084
Blastula,A_B1,1,Control,A_blastula_b1-0038,57,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0038,58,0.086
Blastula,A_B1,1,Control,A_blastula_b1-0039,59,0.091
Blastula,A_B1,1,Control,A_blastula_b1-0039,60,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0039,61,0.085
Blastula,A_B1,1,Control,A_blastula_b1-0039,62,0.090
Blastula,A_B1,1,Control,A_blastula_b1-0040,65,0.086
Blastula,A_B1,1,Control,A_blastula_b1-0040,66,0.085
Blastula,A_B1,1,Control,A_blastula_b1-0042,67,0.086
Blastula,A_B1,1,Control,A_blastula_b1-0043,68,0.090
Blastula,A_B1,1,Control,A_blastula_b1-0044,69,0.091
Blastula,A_B1,1,Control,A_blastula_b1-0045,70,0.081
Blastula,A_B1,1,Control,A_blastula_b1-0046,71,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0047,72,0.087
Blastula,A_B1,1,Control,A_blastula_b1-0047,73,0.085
Blastula,A_B1,1,Control,A_blastula_b1-0048,74,0.085
Blastula,A_B1,1,Control,A_blastula_b1-0048,75,0.085
Blastula,A_B1,1,Control,A_blastula_b1-0049,76,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0049,77,0.083
Blastula,A_B1,1,Control,A_blastula_b1-0050,79,0.088
Blastula,A_B1,1,Control,A_blastula_b1-0051,80,0.084
Blastula,A_B2,1,100ppb,A_blastula_b2-0002,1,0.090
Blastula,A_B2,1,100ppb,A_blastula_b2-0003,2,0.091
Blastula,A_B2,1,100ppb,A_blastula_b2-0005,4,0.089
Blastula,A_B2,1,100ppb,A_blastula_b2-0006,5,0.087
Blastula,A_B2,1,100ppb,A_blastula_b2-0007,6,0.089
Blastula,A_B2,1,100ppb,A_blastula_b2-0008,7,0.090
Blastula,A_B2,1,100ppb,A_blastula_b2-0009,8,0.087
Blastula,A_B2,1,100ppb,A_blastula_b2-0010,9,0.093
Blastula,A_B2,1,100ppb,A_blastula_b2-0012,11,0.090
Blastula,A_B2,1,100ppb,A_blastula_b2-0013,13,0.089
Blastula,A_B2,1,100ppb,A_blastula_b2-0014,14,0.090
Blastula,A_B2,1,100ppb,A_blastula_b2-0014,15,0.089
Blastula,A_B2,1,100ppb,A_blastula_b2-0034,39,0.100
Blastula,A_B2,1,100ppb,A_blastula_b2-0034,40,0.094
Blastula,A_B2,1,100ppb,A_blastula_b2-0035,41,0.099
Blastula,A_B2,1,100ppb,A_blastula_b2-0036,42,0.103
Blastula,A_B2,1,100ppb,A_blastula_b2-0037,43,0.104
Blastula,A_B3,1,500ppb,A_blastula_b3-0003,2,0.089
Blastula,A_B3,1,500ppb,A_blastula_b3-0004,3,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0005,5,0.092
Blastula,A_B3,1,500ppb,A_blastula_b3-0006,6,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0007,7,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0008,8,0.099
Blastula,A_B3,1,500ppb,A_blastula_b3-0010,10,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0011,11,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0013,13,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0014,14,0.100
Blastula,A_B3,1,500ppb,A_blastula_b3-0015,15,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0016,16,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0017,17,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0017,18,0.099
Blastula,A_B3,1,500ppb,A_blastula_b3-0018,19,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0019,20,0.091
Blastula,A_B3,1,500ppb,A_blastula_b3-0020,21,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0021,22,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0022,23,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0022,24,0.097
Blastula,A_B3,1,500ppb,A_blastula_b3-0024,26,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0025,27,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0027,29,0.091
Blastula,A_B3,1,500ppb,A_blastula_b3-0027,30,0.097
Blastula,A_B3,1,500ppb,A_blastula_b3-0029,32,0.090
Blastula,A_B3,1,500ppb,A_blastula_b3-0030,33,0.091
Blastula,A_B3,1,500ppb,A_blastula_b3-0030,34,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0031,35,0.100
Blastula,A_B3,1,500ppb,A_blastula_b3-0031,36,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0034,39,0.097
Blastula,A_B3,1,500ppb,A_blastula_b3-0035,40,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0036,42,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0037,43,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0039,45,0.089
Blastula,A_B3,1,500ppb,A_blastula_b3-0040,46,0.097
Blastula,A_B3,1,500ppb,A_blastula_b3-0040,47,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0041,48,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0043,50,0.099
Blastula,A_B3,1,500ppb,A_blastula_b3-0043,51,0.091
Blastula,A_B3,1,500ppb,A_blastula_b3-0043,52,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0043,53,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0044,54,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0045,55,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0045,56,0.087
Blastula,A_B3,1,500ppb,A_blastula_b3-0046,57,0.102
Blastula,A_B3,1,500ppb,A_blastula_b3-0046,58,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0047,59,0.090
Blastula,A_B3,1,500ppb,A_blastula_b3-0048,60,0.090
Blastula,A_B3,1,500ppb,A_blastula_b3-0048,61,0.100
Blastula,A_B3,1,500ppb,A_blastula_b3-0048,62,0.092
Blastula,A_B3,1,500ppb,A_blastula_b3-0049,63,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0049,64,0.097
Blastula,A_B3,1,500ppb,A_blastula_b3-0050,65,0.087
Blastula,A_B3,1,500ppb,A_blastula_b3-0051,66,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0052,67,0.084
Blastula,A_B3,1,500ppb,A_blastula_b3-0053,68,0.089
Blastula,A_B3,1,500ppb,A_blastula_b3-0054,69,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0055,70,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0056,71,0.091
Blastula,A_B3,1,500ppb,A_blastula_b3-0057,73,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0057,74,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0058,75,0.090
Blastula,A_B3,1,500ppb,A_blastula_b3-0059,76,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0059,77,0.097
Blastula,A_B3,1,500ppb,A_blastula_b3-0060,78,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0062,80,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0064,83,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0065,84,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0065,85,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0067,88,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0067,89,0.093
Blastula,A_B3,1,500ppb,A_blastula_b3-0068,90,0.100
Blastula,A_B3,1,500ppb,A_blastula_b3-0069,92,0.101
Blastula,A_B3,1,500ppb,A_blastula_b3-0070,93,0.096
Blastula,A_B3,1,500ppb,A_blastula_b3-0071,94,0.103
Blastula,A_B3,1,500ppb,A_blastula_b3-0074,97,0.100
Blastula,A_B3,1,500ppb,A_blastula_b3-0075,98,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0076,99,0.094
Blastula,A_B3,1,500ppb,A_blastula_b3-0077,100,0.091
Blastula,A_B3,1,500ppb,A_blastula_b3-0080,103,0.087
Blastula,A_B3,1,500ppb,A_blastula_b3-0082,105,0.091
Blastula,A_B4,1,1000ppb,A_blastula_b4-0002,1,0.096
Blastula,A_B4,1,1000ppb,A_blastula_b4-0003,3,0.103
Blastula,A_B4,1,1000ppb,A_blastula_b4-0004,4,0.104
Blastula,A_B4,1,1000ppb,A_blastula_b4-0005,5,0.103
Blastula,A_B4,1,1000ppb,A_blastula_b4-0006,6,0.097
Blastula,A_B4,1,1000ppb,A_blastula_b4-0007,7,0.097
Blastula,A_B4,1,1000ppb,A_blastula_b4-0009,10,0.100
Blastula,A_B4,1,1000ppb,A_blastula_b4-0010,11,0.101
Blastula,A_B4,1,1000ppb,A_blastula_b4-0010,12,0.104
Blastula,A_B4,1,1000ppb,A_blastula_b4-0011,13,0.100
Blastula,A_B4,1,1000ppb,A_blastula_b4-0011,14,0.104
Blastula,A_B4,1,1000ppb,A_blastula_b4-0011,15,0.100
Blastula,A_B4,1,1000ppb,A_blastula_b4-0011,16,0.097
Blastula,A_B4,1,1000ppb,A_blastula_b4-0013,18,0.096
Blastula,A_B4,1,1000ppb,A_blastula_b4-0014,19,0.093
Blastula,A_B4,1,1000ppb,A_blastula_b4-0015,20,0.099
Blastula,A_B4,1,1000ppb,A_blastula_b4-0016,21,0.100
Blastula,A_B4,1,1000ppb,A_blastula_b4-0017,22,0.097
Blastula,A_B4,1,1000ppb,A_blastula_b4-0019,24,0.101
Blastula,A_B4,1,1000ppb,A_blastula_b4-0020,25,0.106
Blastula,A_B4,1,1000ppb,A_blastula_b4-0021,26,0.112
Blastula,A_B4,1,1000ppb,A_blastula_b4-0022,27,0.106
Blastula,A_B4,1,1000ppb,A_blastula_b4-0023,28,0.104
Blastula,A_B4,1,1000ppb,A_blastula_b4-0024,30,0.103
Blastula,A_B4,1,1000ppb,A_blastula_b4-0025,31,0.101
Blastula,A_B4,1,1000ppb,A_blastula_b4-0028,34,0.107
Blastula,A_B4,1,1000ppb,A_blastula_b4-0029,36,0.104
Blastula,A_B4,1,1000ppb,A_blastula_b4-0030,37,0.104
Blastula,A_B4,1,1000ppb,A_blastula_b4-0030,38,0.100
Blastula,A_B4,1,1000ppb,A_blastula_b4-0030,39,0.099
Blastula,A_B4,1,1000ppb,A_blastula_b4-0031,40,0.100
Blastula,A_B4,1,1000ppb,A_blastula_b4-0032,41,0.099
Blastula,A_B4,1,1000ppb,A_blastula_b4-0033,42,0.104
Blastula,A_B4,1,1000ppb,A_blastula_b4-0034,43,0.103
Blastula,A_B4,1,1000ppb,A_blastula_b4-0035,44,0.100
Blastula,A_B4,1,1000ppb,A_blastula_b4-0035,45,0.099
Blastula,A_B4,1,1000ppb,A_blastula_b4-0035,46,0.096
Blastula,A_B4,1,1000ppb,A_blastula_b4-0036,47,0.094
Blastula,A_B4,1,1000ppb,A_blastula_b4-0037,48,0.094
Blastula,A_B4,1,1000ppb,A_blastula_b4-0037,49,0.092
Blastula,A_B4,1,1000ppb,A_blastula_b4-0039,51,0.094
Blastula,A_B4,1,1000ppb,A_blastula_b4-0039,52,0.093
Blastula,A_B4,1,1000ppb,A_blastula_b4-0040,54,0.093
Blastula,A_B4,1,1000ppb,A_blastula_b4-0040,55,0.091
Blastula,A_B4,1,1000ppb,A_blastula_b4-0041,57,0.093
Blastula,A_B4,1,1000ppb,A_blastula_b4-0042,58,0.089
Blastula,A_B4,1,1000ppb,A_blastula_b4-0042,59,0.096
Blastula,A_B4,1,1000ppb,A_blastula_b4-0043,61,0.097
Blastula,A_B4,1,1000ppb,A_blastula_b4-0045,63,0.090
Blastula,A_B4,1,1000ppb,A_blastula_b4-0045,64,0.093
Blastula,A_B4,1,1000ppb,A_blastula_b4-0045,65,0.093
Blastula,A_B4,1,1000ppb,A_blastula_b4-0046,67,0.093
Blastula,A_B4,1,1000ppb,A_blastula_b4-0046,68,0.090
Blastula,A_B4,1,1000ppb,A_blastula_b4-0047,69,0.093
Blastula,A_B4,1,1000ppb,A_blastula_b4-0047,70,0.094
Blastula,A_B4,1,1000ppb,A_blastula_b4-0048,71,0.094
Blastula,A_B4,1,1000ppb,A_blastula_b4-0049,73,0.095
Blastula,A_B4,1,1000ppb,A_blastula_b4-0050,75,0.088
Blastula,A_B4,1,1000ppb,A_blastula_b4-0051,76,0.088
Blastula,A_B4,1,1000ppb,A_blastula_b4-0052,77,0.095
