Beaker,MatePair,Stage,Treatment,Replicate,Count,Abnormal
A_B1,1,Blastula,Control,1,15,0
A_B1,1,Blastula,Control,2,10,0
A_B1,1,Blastula,Control,3,11,0
A_B1,1,Blastula,Control,4,17,0
A_B1,1,Blastula,Control,5,22,0
A_B1,1,Blastula,Control,6,20,0
A_B1,1,Blastula,Control,7,12,0
A_B1,1,Blastula,Control,8,16,0
A_B1,1,Blastula,Control,9,13,0
A_B1,1,Blastula,Control,10,13,0
A_B2,1,Blastula,100 ppb,1,17,0
A_B2,1,Blastula,100 ppb,2,18,0
A_B2,1,Blastula,100 ppb,3,18,0
A_B2,1,Blastula,100 ppb,4,15,0
A_B2,1,Blastula,100 ppb,5,17,0
A_B2,1,Blastula,100 ppb,6,17,0
A_B2,1,Blastula,100 ppb,7,25,0
A_B2,1,Blastula,100 ppb,8,28,0
A_B2,1,Blastula,100 ppb,9,23,0
A_B2,1,Blastula,100 ppb,10,20,0
A_B3,1,Blastula,500 ppb,1,13,0
A_B3,1,Blastula,500 ppb,2,21,0
A_B3,1,Blastula,500 ppb,3,12,0
A_B3,1,Blastula,500 ppb,4,15,0
A_B3,1,Blastula,500 ppb,5,12,0
A_B3,1,Blastula,500 ppb,6,14,0
A_B3,1,Blastula,500 ppb,7,24,0
A_B3,1,Blastula,500 ppb,8,23,0
A_B3,1,Blastula,500 ppb,9,20,0
A_B3,1,Blastula,500 ppb,10,26,0
A_B4,1,Blastula,1000 ppb,1,5,0
A_B4,1,Blastula,1000 ppb,2,8,0
A_B4,1,Blastula,1000 ppb,3,8,0
A_B4,1,Blastula,1000 ppb,4,7,0
A_B4,1,Blastula,1000 ppb,5,14,0
A_B4,1,Blastula,1000 ppb,6,9,0
A_B4,1,Blastula,1000 ppb,7,10,0
A_B4,1,Blastula,1000 ppb,8,9,0
A_B4,1,Blastula,1000 ppb,9,12,0
A_B4,1,Blastula,1000 ppb,10,14,0
A_B5,2,Blastula,Control,1,11,3
A_B5,2,Blastula,Control,2,5,5
A_B5,2,Blastula,Control,3,9,5
A_B5,2,Blastula,Control,4,9,1
A_B5,2,Blastula,Control,5,16,8
A_B5,2,Blastula,Control,6,6,1
A_B5,2,Blastula,Control,7,14,7
A_B5,2,Blastula,Control,8,16,8
A_B5,2,Blastula,Control,9,12,8
A_B5,2,Blastula,Control,10,12,4
A_B6,2,Blastula,100 ppb,1,6,3
A_B6,2,Blastula,100 ppb,2,11,3
A_B6,2,Blastula,100 ppb,3,10,2
A_B6,2,Blastula,100 ppb,4,4,4
A_B6,2,Blastula,100 ppb,5,14,3
A_B6,2,Blastula,100 ppb,6,18,8
A_B6,2,Blastula,100 ppb,7,5,2
A_B6,2,Blastula,100 ppb,8,10,3
A_B6,2,Blastula,100 ppb,9,8,1
A_B6,2,Blastula,100 ppb,10,6,4
A_B7,2,Blastula,500 ppb,1,7,2
A_B7,2,Blastula,500 ppb,2,9,7
A_B7,2,Blastula,500 ppb,3,9,1
A_B7,2,Blastula,500 ppb,4,6,3
A_B7,2,Blastula,500 ppb,5,8,8
A_B7,2,Blastula,500 ppb,6,8,5
A_B7,2,Blastula,500 ppb,7,9,2
A_B7,2,Blastula,500 ppb,8,7,5
A_B7,2,Blastula,500 ppb,9,12,6
A_B7,2,Blastula,500 ppb,10,9,5
A_B8,2,Blastula,1000 ppb,1,9,5
A_B8,2,Blastula,1000 ppb,2,8,2
A_B8,2,Blastula,1000 ppb,3,10,5
A_B8,2,Blastula,1000 ppb,4,8,4
A_B8,2,Blastula,1000 ppb,5,7,1
A_B8,2,Blastula,1000 ppb,6,9,5
A_B8,2,Blastula,1000 ppb,7,12,4
A_B8,2,Blastula,1000 ppb,8,7,6
A_B8,2,Blastula,1000 ppb,9,7,6
A_B8,2,Blastula,1000 ppb,10,7,3
B_B9,3,Blastula,Control,1,3,0
B_B9,3,Blastula,Control,2,9,0
B_B9,3,Blastula,Control,3,12,0
B_B9,3,Blastula,Control,4,8,0
B_B9,3,Blastula,Control,5,6,0
B_B9,3,Blastula,Control,6,17,0
B_B9,3,Blastula,Control,7,9,0
B_B9,3,Blastula,Control,8,12,0
B_B9,3,Blastula,Control,9,15,0
B_B9,3,Blastula,Control,10,5,0
B_B10,3,Blastula,100 ppb,1,16,0
B_B10,3,Blastula,100 ppb,2,7,0
B_B10,3,Blastula,100 ppb,3,6,0
B_B10,3,Blastula,100 ppb,4,5,0
B_B10,3,Blastula,100 ppb,5,7,0
B_B10,3,Blastula,100 ppb,6,11,0
B_B10,3,Blastula,100 ppb,7,15,0
