Beaker,MatePair,Stage,Treatment,Replicate,Count,Abnormal
A_B1,1,Gastrula,Control,1,5,0
A_B1,1,Gastrula,Control,2,13,0
A_B1,1,Gastrula,Control,3,7,0
A_B1,1,Gastrula,Control,4,13,0
A_B1,1,Gastrula,Control,5,12,0
A_B1,1,Gastrula,Control,6,4,0
A_B1,1,Gastrula,Control,7,12,0
A_B1,1,Gastrula,Control,8,7,0
A_B1,1,Gastrula,Control,9,8,0
A_B1,1,Gastrula,Control,10,13,0
A_B2,1,Gastrula,100 ppb,1,6,0
A_B2,1,Gastrula,100 ppb,2,13,0
A_B2,1,Gastrula,100 ppb,3,8,0
A_B2,1,Gastrula,100 ppb,4,10,0
A_B2,1,Gastrula,100 ppb,5,11,0
A_B2,1,Gastrula,100 ppb,6,9,0
A_B2,1,Gastrula,100 ppb,7,12,0
A_B2,1,Gastrula,100 ppb,8,14,0
A_B2,1,Gastrula,100 ppb,9,12,0
A_B2,1,Gastrula,100 ppb,10,11,0
A_B3,1,Gastrula,500 ppb,1,15,0
A_B3,1,Gastrula,500 ppb,2,13,0
A_B3,1,Gastrula,500 ppb,3,10,0
A_B3,1,Gastrula,500 ppb,4,10,0
A_B3,1,Gastrula,500 ppb,5,10,0
A_B3,1,Gastrula,500 ppb,6,9,0
A_B3,1,Gastrula,500 ppb,7,6,0
A_B3,1,Gastrula,500 ppb,8,8,0
A_B3,1,Gastrula,500 ppb,9,12,0
A_B3,1,Gastrula,500 ppb,10,11,0
A_B4,1,Gastrula,1000 ppb,1,9,0
A_B4,1,Gastrula,1000 ppb,2,6,0
A_B4,1,Gastrula,1000 ppb,3,8,0
A_B4,1,Gastrula,1000 ppb,4,17,0
A_B4,1,Gastrula,1000 ppb,5,12,0
A_B4,1,Gastrula,1000 ppb,6,12,0
A_B4,1,Gastrula,1000 ppb,7,16,0
A_B4,1,Gastrula,1000 ppb,8,8,0
A_B4,1,Gastrula,1000 ppb,9,5,0
A_B4,1,Gastrula,1000 ppb,10,8,0
A_B5,2,Gastrula,Control,1,7,0
A_B5,2,Gastrula,Control,2,6,0
A_B5,2,Gastrula,Control,3,6,0
A_B5,2,Gastrula,Control,4,3,0
A_B5,2,Gastrula,Control,5,6,0
A_B5,2,Gastrula,Control,6,5,0
A_B5,2,Gastrula,Control,7,5,0
A_B5,2,Gastrula,Control,8,10,0
A_B5,2,Gastrula,Control,9,3,0
A_B5,2,Gastrula,Control,10,7,0
A_B6,2,Gastrula,100 ppb,1,6,0
A_B6,2,Gastrula,100 ppb,2,7,0
A_B6,2,Gastrula,100 ppb,3,7,0
A_B6,2,Gastrula,100 ppb,4,8,0
A_B6,2,Gastrula,100 ppb,5,4,0
A_B6,2,Gastrula,100 ppb,6,9,0
A_B6,2,Gastrula,100 ppb,7,6,0
A_B6,2,Gastrula,100 ppb,8,4,0
A_B6,2,Gastrula,100 ppb,9,7,0
A_B6,2,Gastrula,100 ppb,10,3,0
A_B7,2,Gastrula,500 ppb,1,5,0
A_B7,2,Gastrula,500 ppb,2,3,0
A_B7,2,Gastrula,500 ppb,3,4,0
A_B7,2,Gastrula,500 ppb,4,3,0
A_B7,2,Gastrula,500 ppb,5,4,0
A_B7,2,Gastrula,500 ppb,6,4,0
A_B7,2,Gastrula,500 ppb,7,7,0
A_B7,2,Gastrula,500 ppb,8,0,1
A_B7,2,Gastrula,500 ppb,9,1,0
A_B7,2,Gastrula,500 ppb,10,1,0
A_B8,2,Gastrula,1000 ppb,1,1,0
A_B8,2,Gastrula,1000 ppb,2,0,0
A_B8,2,Gastrula,1000 ppb,3,0,0
A_B8,2,Gastrula,1000 ppb,4,1,0
A_B8,2,Gastrula,1000 ppb,5,0,0
A_B8,2,Gastrula,1000 ppb,6,0,0
A_B8,2,Gastrula,1000 ppb,7,0,0
A_B8,2,Gastrula,1000 ppb,8,0,0
A_B8,2,Gastrula,1000 ppb,9,0,0
A_B8,2,Gastrula,1000 ppb,10,0,0
B_B9,3,Gastrula,Control,1,7,
B_B9,3,Gastrula,Control,2,12,
B_B9,3,Gastrula,Control,3,7,1
B_B9,3,Gastrula,Control,4,11,
B_B9,3,Gastrula,Control,5,9,
B_B9,3,Gastrula,Control,6,11,
B_B9,3,Gastrula,Control,7,11,
B_B9,3,Gastrula,Control,8,5,1
B_B9,3,Gastrula,Control,9,5,
B_B9,3,Gastrula,Control,10,6,
B_B10,3,Gastrula,100 ppb,1,5,
B_B10,3,Gastrula,100 ppb,2,9,
B_B10,3,Gastrula,100 ppb,3,17,
B_B10,3,Gastrula,100 ppb,4,6,
B_B10,3,Gastrula,100 ppb,5,5,
B_B10,3,Gastrula,100 ppb,6,6,
B_B10,3,Gastrula,100 ppb,7,7,1
B_B10,3,Gastrula,100 ppb,8,7,
B_B10,3,Gastrula,100 ppb,9,6,1
B_B10,3,Gastrula,100 ppb,10,4,
B_B11,3,Gastrula,500 ppb,1,16,1
B_B11,3,Gastrula,500 ppb,2,9,
B_B11,3,Gastrula,500 ppb,3,6,
B_B11,3,Gastrula,500 ppb,4,10,1
B_B11,3,Gastrula,500 ppb,5,4,
B_B11,3,Gastrula,500 ppb,6,8,
B_B11,3,Gastrula,500 ppb,7,8,
B_B11,3,Gastrula,500 ppb,8,13,
B_B11,3,Gastrula,500 ppb,9,10,1
B_B11,3,Gastrula,500 ppb,10,8,
B_B12,3,Gastrula,1000 ppb,1,5,
B_B12,3,Gastrula,1000 ppb,2,7,
B_B12,3,Gastrula,1000 ppb,3,8,
B_B12,3,Gastrula,1000 ppb,4,8,
B_B12,3,Gastrula,1000 ppb,5,5,
B_B12,3,Gastrula,1000 ppb,6,6,
B_B12,3,Gastrula,1000 ppb,7,7,
B_B12,3,Gastrula,1000 ppb,8,7,
B_B12,3,Gastrula,1000 ppb,9,8,
B_B12,3,Gastrula,1000 ppb,10,12,
B_B13,4,Gastrula,Control,1,7,
B_B13,4,Gastrula,Control,2,6,
B_B13,4,Gastrula,Control,3,13,
B_B13,4,Gastrula,Control,4,13,
B_B13,4,Gastrula,Control,5,5,
B_B13,4,Gastrula,Control,6,11,
B_B13,4,Gastrula,Control,7,15,
B_B13,4,Gastrula,Control,8,12,
B_B13,4,Gastrula,Control,9,17,
B_B13,4,Gastrula,Control,10,11,
B_B14,4,Gastrula,100 ppb,1,1,
B_B14,4,Gastrula,100 ppb,2,0,
B_B14,4,Gastrula,100 ppb,3,0,
B_B14,4,Gastrula,100 ppb,4,1,
B_B14,4,Gastrula,100 ppb,5,0,
B_B14,4,Gastrula,100 ppb,6,0,
B_B14,4,Gastrula,100 ppb,7,1,
B_B14,4,Gastrula,100 ppb,8,0,
B_B14,4,Gastrula,100 ppb,9,0,
B_B14,4,Gastrula,100 ppb,10,0,
B_B15,4,Gastrula,500 ppb,1,7,
