Beaker,MatePair,Stage,Treatment,Replicate,Count,Abnormal
A_B1,1,Pluteus,Control,1,8,
A_B1,1,Pluteus,Control,2,1,
A_B1,1,Pluteus,Control,3,2,
A_B1,1,Pluteus,Control,4,3,
A_B1,1,Pluteus,Control,5,8,
A_B1,1,Pluteus,Control,6,13,
A_B1,1,Pluteus,Control,7,10,
A_B1,1,Pluteus,Control,8,11,
A_B1,1,Pluteus,Control,9,5,
A_B1,1,Pluteus,Control,10,10,
A_B2,1,Pluteus,100 ppb,1,7,
A_B2,1,Pluteus,100 ppb,2,7,
A_B2,1,Pluteus,100 ppb,3,4,
A_B2,1,Pluteus,100 ppb,4,7,
A_B2,1,Pluteus,100 ppb,5,4,
A_B2,1,Pluteus,100 ppb,6,7,
A_B2,1,Pluteus,100 ppb,7,5,
A_B2,1,Pluteus,100 ppb,8,10,
A_B2,1,Pluteus,100 ppb,9,10,
A_B2,1,Pluteus,100 ppb,10,6,
A_B3,1,Pluteus,500 ppb,1,11,
A_B3,1,Pluteus,500 ppb,2,10,
A_B3,1,Pluteus,500 ppb,3,9,
A_B3,1,Pluteus,500 ppb,4,4,
A_B3,1,Pluteus,500 ppb,5,9,
A_B3,1,Pluteus,500 ppb,6,8,
A_B3,1,Pluteus,500 ppb,7,5,
A_B3,1,Pluteus,500 ppb,8,3,
A_B3,1,Pluteus,500 ppb,9,5,
A_B3,1,Pluteus,500 ppb,10,12,
A_B4,1,Pluteus,1000 ppb,1,5,
A_B4,1,Pluteus,1000 ppb,2,8,
A_B4,1,Pluteus,1000 ppb,3,4,
A_B4,1,Pluteus,1000 ppb,4,2,
A_B4,1,Pluteus,1000 ppb,5,4,
A_B4,1,Pluteus,1000 ppb,6,4,
A_B4,1,Pluteus,1000 ppb,7,11,
A_B4,1,Pluteus,1000 ppb,8,7,
A_B4,1,Pluteus,1000 ppb,9,4,
A_B4,1,Pluteus,1000 ppb,10,5,
A_B5,2,Pluteus,Control,1,6,
A_B5,2,Pluteus,Control,2,2,
A_B5,2,Pluteus,Control,3,1,
A_B5,2,Pluteus,Control,4,8,
A_B5,2,Pluteus,Control,5,3,
A_B5,2,Pluteus,Control,6,5,
A_B5,2,Pluteus,Control,7,7,
A_B5,2,Pluteus,Control,8,4,
A_B5,2,Pluteus,Control,9,4,
A_B5,2,Pluteus,Control,10,3,
A_B6,2,Pluteus,100 ppb,1,2,
A_B6,2,Pluteus,100 ppb,2,2,
A_B6,2,Pluteus,100 ppb,3,3,
A_B6,2,Pluteus,100 ppb,4,1,
A_B6,2,Pluteus,100 ppb,5,1,
A_B6,2,Pluteus,100 ppb,6,2,
A_B6,2,Pluteus,100 ppb,7,4,
A_B6,2,Pluteus,100 ppb,8,2,
A_B6,2,Pluteus,100 ppb,9,4,
A_B6,2,Pluteus,100 ppb,10,4,
A_B7,2,Pluteus,500 ppb,1,0,
A_B7,2,Pluteus,500 ppb,2,1,
A_B7,2,Pluteus,500 ppb,3,0,
A_B7,2,Pluteus,500 ppb,4,2,
A_B7,2,Pluteus,500 ppb,5,0,
A_B7,2,Pluteus,500 ppb,6,2,
A_B7,2,Pluteus,500 ppb,7,3,
A_B7,2,Pluteus,500 ppb,8,2,
A_B7,2,Pluteus,500 ppb,9,5,
A_B7,2,Pluteus,500 ppb,10,4,
A_B8,2,Pluteus,1000 ppb,1,0,
A_B8,2,Pluteus,1000 ppb,2,0,
A_B8,2,Pluteus,1000 ppb,3,0,
A_B8,2,Pluteus,1000 ppb,4,0,
A_B8,2,Pluteus,1000 ppb,5,0,
A_B8,2,Pluteus,1000 ppb,6,0,
A_B8,2,Pluteus,1000 ppb,7,0,
A_B8,2,Pluteus,1000 ppb,8,0,
A_B8,2,Pluteus,1000 ppb,9,0,
A_B8,2,Pluteus,1000 ppb,10,0,
B_B9,3,Pluteus,Control,1,4,
B_B9,3,Pluteus,Control,2,4,
B_B9,3,Pluteus,Control,3,13,
B_B9,3,Pluteus,Control,4,12,
B_B9,3,Pluteus,Control,5,3,
B_B9,3,Pluteus,Control,6,6,
B_B9,3,Pluteus,Control,7,8,
B_B9,3,Pluteus,Control,8,8,
B_B9,3,Pluteus,Control,9,6,
B_B9,3,Pluteus,Control,10,11,
B_B10,3,Pluteus,100 ppb,1,4,
B_B10,3,Pluteus,100 ppb,2,5,
B_B10,3,Pluteus,100 ppb,3,4,
B_B10,3,Pluteus,100 ppb,4,6,
B_B10,3,Pluteus,100 ppb,5,13,
B_B10,3,Pluteus,100 ppb,6,7,
B_B10,3,Pluteus,100 ppb,7,8,
B_B10,3,Pluteus,100 ppb,8,9,
B_B10,3,Pluteus,100 ppb,9,4,
B_B10,3,Pluteus,100 ppb,10,6,
B_B11,3,Pluteus,500 ppb,1,1,
B_B11,3,Pluteus,500 ppb,2,3,
B_B11,3,Pluteus,500 ppb,3,5,
B_B11,3,Pluteus,500 ppb,4,12,
B_B11,3,Pluteus,500 ppb,5,10,1
B_B11,3,Pluteus,500 ppb,6,11,1
B_B11,3,Pluteus,500 ppb,7,5,1
B_B11,3,Pluteus,500 ppb,8,4,
B_B11,3,Pluteus,500 ppb,9,7,
B_B11,3,Pluteus,500 ppb,10,12,1
B_B12,3,Pluteus,1000 ppb,1,3,
B_B12,3,Pluteus,1000 ppb,2,3,
B_B12,3,Pluteus,1000 ppb,3,9,
B_B12,3,Pluteus,1000 ppb,4,2,
B_B12,3,Pluteus,1000 ppb,5,6,
B_B12,3,Pluteus,1000 ppb,6,10,
B_B12,3,Pluteus,1000 ppb,7,10,
B_B12,3,Pluteus,1000 ppb,8,6,
B_B12,3,Pluteus,1000 ppb,9,6,
B_B12,3,Pluteus,1000 ppb,10,11,
B_B13,4,Pluteus,Control,1,5,
B_B13,4,Pluteus,Control,2,3,
B_B13,4,Pluteus,Control,3,1,
B_B13,4,Pluteus,Control,4,4,
B_B13,4,Pluteus,Control,5,4,
B_B13,4,Pluteus,Control,6,6,
B_B13,4,Pluteus,Control,7,7,
B_B13,4,Pluteus,Control,8,6,
B_B13,4,Pluteus,Control,9,5,1
B_B13,4,Pluteus,Control,10,4,
B_B14,4,Pluteus,100 ppb,1,1,
B_B14,4,Pluteus,100 ppb,2,2,
B_B14,4,Pluteus,100 ppb,3,0,
B_B14,4,Pluteus,100 ppb,4,2,
B_B14,4,Pluteus,100 ppb,5,1,
B_B14,4,Pluteus,100 ppb,6,1,
B_B14,4,Pluteus,100 ppb,7,0,
B_B14,4,Pluteus,100 ppb,8,1,1
B_B14,4,Pluteus,100 ppb,9,2,
B_B14,4,Pluteus,100 ppb,10,4,
B_B15,4,Pluteus,500 ppb,1,3,1
B_B15,4,Pluteus,500 ppb,2,12,
B_B15,4,Pluteus,500 ppb,3,1,
B_B15,4,Pluteus,500 ppb,4,7,1
B_B15,4,Pluteus,500 ppb,5,5,
B_B15,4,Pluteus,500 ppb,6,2,
B_B15,4,Pluteus,500 ppb,7,4,
B_B15,4,Pluteus,500 ppb,8,7,
B_B15,4,Pluteus,500 ppb,9,3,
B_B15,4,Pluteus,500 ppb,10,2,
B_B16,4,Pluteus,1000 ppb,1,4,
B_B16,4,Pluteus,1000 ppb,2,6,
B_B16,4,Pluteus,1000 ppb,3,6,
B_B16,4,Pluteus,1000 ppb,4,10,
B_B16,4,Pluteus,1000 ppb,5,4,
B_B16,4,Pluteus,1000 ppb,6,8,
B_B16,4,Pluteus,1000 ppb,7,5,
B_B16,4,Pluteus,1000 ppb,8,4,
B_B16,4,Pluteus,1000 ppb,9,5,
B_B16,4,Pluteus,1000 ppb,10,7,
