"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0003735","structural constituent of ribosome",161,31,1.61,"< 1e-30"
"4","GO:0003723","RNA binding",823,19,8.24,"0.00047"
"5","GO:0031593","polyubiquitin modification-dependent protein binding",23,3,0.23,"0.00149"
"6","GO:0140030","modification-dependent protein binding",47,3,0.47,"0.01151"
"8","GO:0003729","mRNA binding",151,5,1.51,"0.01773"
"9","GO:0019887","protein kinase regulator activity",56,3,0.56,"0.01844"
"10","GO:0030234","enzyme regulator activity",408,9,4.09,"0.02100"
"11","GO:0015078","proton transmembrane transporter activity",61,3,0.61,"0.02310"
"13","GO:0019207","kinase regulator activity",62,3,0.62,"0.02410"
"14","GO:0098772","molecular function regulator activity",495,10,4.96,"0.02631"
"17","GO:0003676","nucleic acid binding",2137,29,21.4,"0.04567"
