Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,abnormality_type
Gastrula,A_B1,1,Control,A_gastrula_b1-0024,21,underdeveloped
Gastrula,A_B1,1,Control,A_gastrula_b1-0028,23,underdeveloped
Gastrula,A_B1,1,Control,A_gastrula_b1-0031,26,underdeveloped
Gastrula,A_B1,1,Control,A_gastrula_b1-0033,27,underdeveloped
Gastrula,A_B1,1,Control,A_gastrula_b1-0034,28,degraded_stomach
Gastrula,A_B1,1,Control,A_gastrula_b1-0036,30,degraded_stomach
Gastrula,A_B1,1,Control,A_gastrula_b1-0042,35,underdeveloped
Gastrula,A_B1,1,Control,A_gastrula_b1-0044,36,underdeveloped
Gastrula,A_B1,1,Control,A_gastrula_b1-0046,38,underdeveloped
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0008,8,underdeveloped
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0011,11,underdeveloped
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0015,15,underdeveloped
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0035,42,degraded_stomach
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0036,43,degraded_stomach
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0044,51,underdeveloped
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0065,72,degraded_stomach
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0072,79,underdeveloped
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0078,85,underdeveloped
Gastrula,A_B3,1,500ppb,A_gastrula_b2-0008,5,degraded_stomach
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0009,6,degraded_stomach
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0011,7,underdeveloped
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0030,25,degraded_stomach
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0036,31,underdeveloped
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0057,54,underdeveloped
Gastrula,A_B4,1,1000ppb,A_gastrula_b4-0026,33,underdeveloped
Gastrula,A_B5,2,Control,A_gastrula_b5-0004,2,underdeveloped
Gastrula,A_B5,2,Control,A_gastrula_b5-0012,8,underdeveloped
Gastrula,A_B5,2,Control,A_gastrula_b5-0014,10,underdeveloped
Gastrula,A_B5,2,Control,A_gastrula_b5-0015,11,underdeveloped
Gastrula,A_B5,2,Control,A_gastrula_b5-0020,16,underdeveloped
Gastrula,A_B5,2,Control,A_gastrula_b5-0024,19,underdeveloped
