Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,Height(mm),Width(mm),Stomach_Length(mm),,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0002,1,0.119,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0003,2,0.12,0.113,0.078,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0004,3,0.118,0.108,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0005,4,0.113,0.099,0.09,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0006,5,0.106,0.114,0.055,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0009,6,0.124,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0009,7,0.129,0.12,0.104,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0012,9,0.103,0.114,0.051,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0013,10,0.111,0.119,0.068,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0015,12,0.119,0.119,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0016,13,0.119,0.109,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0017,14,0.124,0.116,0.099,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0017,15,0.115,0.117,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0018,16,0.118,0.12,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0020,17,0.13,0.113,0.07,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0021,18,0.114,0.115,0.094,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0022,19,0.112,0.114,0.061,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0023,20,0.13,0.118,0.114,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0027,22,0.113,0.123,0.078,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0030,25,0.125,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0035,29,0.109,0.114,0.088,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0039,31,0.124,0.117,0.099,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0040,32,0.119,0.127,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0041,34,0.115,0.115,0.09,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0047,39,0.131,0.105,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0047,40,0.117,0.107,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0048,41,0.108,0.119,0.059,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0049,42,0.128,0.117,0.072,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0050,43,0.115,0.117,0.089,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0052,45,0.112,0.112,0.088,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0053,46,0.177,0.118,0.099,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0054,47,0.12,0.114,0.101,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0055,49,0.13,0.119,0.109,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0057,52,0.126,0.119,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0057,53,0.138,0.124,0.082,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0057,54,0.11,0.12,0.087,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0057,55,0.113,0.11,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0058,56,0.116,0.119,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0059,57,0.137,0.119,0.113,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0060,58,0.114,0.105,0.096,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0061,59,0.119,0.112,0.063,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0063,60,0.105,0.117,0.07,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0064,61,0.116,0.119,0.087,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0065,62,0.119,0.11,0.063,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0002,1,0.127,0.108,0.097,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0003,2,0.13,0.119,0.072,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0003,3,0.136,0.117,0.112,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0004,4,0.122,0.115,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0005,5,0.122,0.116,0.103,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0006,6,0.106,0.111,0.08,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0007,7,0.128,0.112,0.112,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0009,9,0.13,0.114,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0010,10,0.104,0.112,0.072,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0012,12,0.132,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0013,13,0.127,0.113,,,,,,,,,,,,,,,,,
