"","GO.ID","Term","Annotated","Significant","Expected","classic"
"11","GO:0099513","polymeric cytoskeletal fiber",198,6,0.83,"0.00015"
"12","GO:0099081","supramolecular polymer",219,6,0.91,"0.00026"
"13","GO:0099512","supramolecular fiber",219,6,0.91,"0.00026"
"14","GO:0015935","small ribosomal subunit",53,3,0.22,"0.00136"
"15","GO:0099080","supramolecular complex",316,6,1.32,"0.00180"
"16","GO:0043226","organelle",5135,30,21.45,"0.00262"
"17","GO:0032991","protein-containing complex",2148,17,8.97,"0.00318"
"18","GO:0015630","microtubule cytoskeleton",373,6,1.56,"0.00412"
"21","GO:0043229","intracellular organelle",5042,28,21.07,"0.01428"
"22","GO:0005737","cytoplasm",3988,23,16.66,"0.02680"
