Stage,BeakerID,MatePair,Treatment,abn_count,total
Pluteus,A_B1,1,Control,8,110
Pluteus,A_B2,1,100ppb,12,71
Pluteus,A_B3,1,500ppb,13,68
Pluteus,A_B4,1,1000ppb,14,87
Pluteus,A_B5,2,Control,7,84
Pluteus,A_B6,2,100ppb,2,37
Pluteus,A_B7,2,500ppb,1,36
Pluteus,A_B8,2,1000ppb,0,1
Pluteus,B_B9,3,Control,11,81
Pluteus,B_B10,3,100ppb,88,99
Pluteus,B_B11,3,500ppb,71,71
Pluteus,B_B12,3,1000ppb,9,72
Pluteus,B_B13,4,Control,3,56
Pluteus,B_B14,4,100ppb,18,20
Pluteus,B_B15,4,500ppb,22,72
Pluteus,B_B16,4,1000ppb,10,99
