Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,abnormality_type
Pluteus,A_B1,1,Control,A_plut_b1-0015,14,small_plut
Pluteus,A_B1,1,Control,A_plut_b1-0028,29,small_plut
Pluteus,A_B1,1,Control,A_plut_b1-0038,38,small_plut
Pluteus,A_B1,1,Control,A_plut_b1-0053,53,skeletal_abnormality
Pluteus,A_B1,1,Control,A_plut_b1-0058,58,small_plut
Pluteus,A_B1,1,Control,A_plut_b1-0061,61,degraded_stomach
Pluteus,A_B1,1,Control,A_plut_b1-0064,64,small_plut
Pluteus,A_B1,1,Control,A_plut_b1-0080,82,small_plut
Pluteus,A_B2,1,100ppb,A_plut_b2-0012,11,small_plut
Pluteus,A_B2,1,100ppb,A_plut_b2-0015,14,abnormal_arms
Pluteus,A_B2,1,100ppb,A_plut_b2-0021,20,small_plut
Pluteus,A_B2,1,100ppb,A_plut_b2-0023,22,underdeveloped
Pluteus,A_B2,1,100ppb,A_plut_b2-0027,27,small_plut
Pluteus,A_B2,1,100ppb,A_plut_b2-0030,30,small_plut
Pluteus,A_B2,1,100ppb,A_plut_b2-0042,42,degraded_stomach
Pluteus,A_B2,1,100ppb,A_plut_b2-0043,43,small_plut
Pluteus,A_B2,1,100ppb,A_plut_b2-0045,45,skeletal_abnormality
Pluteus,A_B2,1,100ppb,A_plut_b2-0051,51,abnormal_arms
Pluteus,A_B2,1,100ppb,A_plut_b2-0056,59,small_plut
Pluteus,A_B2,1,100ppb,A_plut_b2-0064,68,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0006,5,abnormal_arms
Pluteus,A_B3,1,500ppb,A_plut_b3-0017,14,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0024,22,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0025,23,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0028,26,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0030,28,skeletal_abnormality
Pluteus,A_B3,1,500ppb,A_plut_b3-0033,33,skeletal_abnormality
Pluteus,A_B3,1,500ppb,A_plut_b3-0042,42,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0058,59,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0059,60,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0060,61,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0061,62,small_plut
Pluteus,A_B3,1,500ppb,A_plut_b3-0067,68,skeletal_abnormality
Pluteus,A_B4,1,1000ppb,A_plut_b4-0010,13,small_plut
Pluteus,A_B4,1,1000ppb,A_plut_b4-0016,19,skeletal_abnormality
Pluteus,A_B4,1,1000ppb,A_plut_b4-0018,21,small_plut
Pluteus,A_B4,1,1000ppb,A_plut_b4-0029,35,small_plut
Pluteus,A_B4,1,1000ppb,A_plut_b4-0030,36,degraded_stomach
Pluteus,A_B4,1,1000ppb,A_plut_b4-0034,40,bell_shape
Pluteus,A_B4,1,1000ppb,A_plut_b4-0038,44,small_plut
Pluteus,A_B4,1,1000ppb,A_plut_b4-0039,45,skeletal_abnormality
Pluteus,A_B4,1,1000ppb,A_plut_b4-0053,59,small_plut
Pluteus,A_B4,1,1000ppb,A_plut_b4-0055,61,bell_shape
Pluteus,A_B4,1,1000ppb,A_plut_b4-0060,65,abnormal_arms
Pluteus,A_B4,1,1000ppb,A_plut_b4-0062,67,small_plut
Pluteus,A_B4,1,1000ppb,A_plut_b4-0070,75,small_plut
Pluteus,A_B4,1,1000ppb,A_plut_b4-0077,82,abnormal_arms
Pluteus,A_B5,2,Control,A_plut_b5-0016,18,small_plut
Pluteus,A_B5,2,Control,A_plut_b5-0018,21,abnormal_arms
Pluteus,A_B5,2,Control,A_plut_b5-0036,45,small_plut
Pluteus,A_B5,2,Control,A_plut_b5-0037,47,abnormal_arms
Pluteus,A_B5,2,Control,A_plut_b5-0052,65,small_plut
Pluteus,A_B5,2,Control,A_plut_b5-0054,67,skeletal_abnormality
Pluteus,A_B5,2,Control,A_plut_b5-0069,81,abnormal_arms
Pluteus,A_B6,2,100ppb,A_plut_b6-0007,6,degraded_stomach
Pluteus,A_B6,2,100ppb,A_plut_b6-0035,33,degraded_stomach
Pluteus,A_B7,2,500ppb,A_plut_b7-0026,25,abnormal_arms
Pluteus,B_B9,3,Control,B_plut_b9-0003,2,small_plut
Pluteus,B_B9,3,Control,B_plut_b9-0004,3,bell_shape
Pluteus,B_B9,3,Control,B_plut_b9-0022,20,small_plut
Pluteus,B_B9,3,Control,B_plut_b9-0024,22,small_plut
Pluteus,B_B9,3,Control,B_plut_b9-0032,30,small_plut
Pluteus,B_B9,3,Control,B_plut_b9-0036,34,small_plut
Pluteus,B_B9,3,Control,B_plut_b9-0037,35,larval_arrest
Pluteus,B_B9,3,Control,B_plut_b9-0040,38,small_plut
Pluteus,B_B9,3,Control,B_plut_b9-0060,57,bell_shape
Pluteus,B_B9,3,Control,B_plut_b9-0070,67,bell_shape
Pluteus,B_B9,3,Control,B_plut_b9-0072,69,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0002,1,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0003,2,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0004,3,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0005,4,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0006,6,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0007,7,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0008,8,larval_arrest
Pluteus,B_B10,3,100ppb,B_plut_b10-0010,10,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0011,11,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0012,12,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0013,13,larval_arrest
Pluteus,B_B10,3,100ppb,B_plut_b10-0014,14,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0015,15,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0016,16,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0017,17,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0018,18,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0019,19,larval_arrest
Pluteus,B_B10,3,100ppb,B_plut_b10-0021,21,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0022,22,skeletal_abnormality
Pluteus,B_B10,3,100ppb,B_plut_b10-0023,23,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0024,24,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0025,25,larval_arrest
Pluteus,B_B10,3,100ppb,B_plut_b10-0026,26,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0027,27,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0030,30,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0031,31,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0032,32,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0033,33,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0034,34,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0035,35,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0036,36,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0038,38,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0040,40,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0041,41,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0042,42,skeletal_abnormality
Pluteus,B_B10,3,100ppb,B_plut_b10-0043,43,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0044,44,skeletal_abnormality
Pluteus,B_B10,3,100ppb,B_plut_b10-0045,45,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0046,46,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0047,47,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0048,48,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0049,49,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0049,50,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0050,51,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0051,52,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0052,53,skeletal_abnormality
Pluteus,B_B10,3,100ppb,B_plut_b10-0053,54,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0055,55,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0056,56,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0056,57,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0057,58,larval_arrest
Pluteus,B_B10,3,100ppb,B_plut_b10-0058,59,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0059,60,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0060,61,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0061,62,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0062,63,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0063,64,skeletal_abnormality
Pluteus,B_B10,3,100ppb,B_plut_b10-0064,65,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0065,66,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0066,67,abnormal_arms
Pluteus,B_B10,3,100ppb,B_plut_b10-0067,68,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0068,69,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0069,70,degraded
Pluteus,B_B10,3,100ppb,B_plut_b10-0070,71,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0071,72,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0073,74,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0074,75,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0075,76,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0076,77,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0077,78,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0078,79,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0079,80,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0079,81,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0080,82,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0081,83,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0082,85,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0083,86,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0084,87,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0085,88,degraded
Pluteus,B_B10,3,100ppb,B_plut_b10-0087,90,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0088,91,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0088,92,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0089,93,small_plut
Pluteus,B_B10,3,100ppb,B_plut_b10-0090,94,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0091,95,skeletal_abnormality
Pluteus,B_B10,3,100ppb,B_plut_b10-0092,96,skeletal_abnormality
Pluteus,B_B10,3,100ppb,B_plut_b10-0094,97,bell_shape
Pluteus,B_B10,3,100ppb,B_plut_b10-0095,98,larval_arrest
Pluteus,B_B11,3,500ppb,B_plut_b11-0003,1,bell_shape
Pluteus,B_B11,3,500ppb,B_plut_b11-0004,2,bell_shape
