"","Stage","BeakerID","MatePair","Treatment","abn_count","total","prop.abn"
"1","Blastula","A_B1","Pair 1","Control",11,65,0.169230769230769
"2","Blastula","A_B2","Pair 1","100ppb",3,20,0.15
"3","Blastula","A_B3","Pair 1","500ppb",25,106,0.235849056603774
"4","Blastula","A_B4","Pair 1","1000ppb",23,99,0.232323232323232
"5","Blastula","A_B5","Pair 2","Control",45,71,0.633802816901408
"6","Blastula","A_B6","Pair 2","100ppb",46,67,0.686567164179104
"7","Blastula","A_B7","Pair 2","500ppb",66,79,0.835443037974684
"8","Blastula","A_B8","Pair 2","1000ppb",79,79,1
"9","Blastula","B_B9","Pair 3","Control",17,89,0.191011235955056
"10","Blastula","B_B10","Pair 3","100ppb",6,100,0.06
"11","Blastula","B_B11","Pair 3","500ppb",11,103,0.106796116504854
"12","Blastula","B_B12","Pair 3","1000ppb",5,71,0.0704225352112676
"13","Blastula","B_B13","Pair 4","Control",10,100,0.1
"14","Blastula","B_B14","Pair 4","100ppb",15,97,0.154639175257732
"15","Blastula","B_B15","Pair 4","500ppb",20,84,0.238095238095238
"16","Blastula","B_B16","Pair 4","1000ppb",9,67,0.134328358208955
