,X,transcript,version,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
3,XR_973839.2,XR_973839,2,179.3146885,0.954372027,0.231118779,31.91001929,5.47E-07,8.02E-05,1
24,XR_972543.2,XR_972543,2,66.34807001,-0.52928436,0.497250456,16.91822326,0.000734645,0.017621551,1
36,XR_972005.2,XR_972005,2,109.1122228,1.122403492,0.270533382,31.59621792,6.37E-07,8.02E-05,1
73,XR_143788.3,XR_143788,3,1483.829865,-0.095419007,0.462476576,19.79853206,0.000186867,0.006142399,1
78,XR_143688.3,XR_143688,3,216.7127549,0.91307732,0.200326505,52.54627733,2.29E-11,2.03E-08,1
344,XM_030984863.1,XM_030984863,1,31.94928906,1.038540383,0.390952219,15.97392167,0.00114803,0.024850655,1
378,XM_030984544.1,XM_030984544,1,293.5653733,1.174423762,0.400773226,15.27359238,0.001597161,0.032585765,1
614,XM_030983020.1,XM_030983020,1,1874.706326,0.590681466,0.251927839,26.08216067,9.17E-06,0.000707453,1
830,XM_030992723.1,XM_030992723,1,1873.40646,0.534576685,0.171058549,25.27872061,1.35E-05,0.000887581,1
833,XM_778407.5,XM_778407,5,406.2581113,0.723794573,0.273219727,31.46814362,6.77E-07,8.02E-05,1
1242,XM_779323.5,XM_779323,5,60.00447425,0.762632082,0.280300786,18.09342887,0.000420759,0.011951187,1
1243,NM_001242650.1,NM_001242650,1,3997.722678,0.420360275,0.164606218,30.35207721,1.16E-06,0.000121499,1
1362,XM_011680115.2,XM_011680115,2,1330.763969,0.362121806,0.234330507,15.88534955,0.001197038,0.025599306,1
1799,XR_004065900.1,XR_004065900,1,23.41440186,0.86024458,0.540070717,22.59412536,4.91E-05,0.002419159,1
1928,XM_030979044.1,XM_030979044,1,1666.344872,0.93184262,0.279099493,20.35376241,0.000143367,0.004989726,1
2347,XM_001176097.4,XM_001176097,4,232.186773,0.535829658,0.222761243,29.33421885,1.91E-06,0.000177967,1
2452,XR_004066239.1,XR_004066239,1,2585.013614,1.215472347,0.449603967,20.68628758,0.000122309,0.004522895,1
2698,XR_004064036.1,XR_004064036,1,49.12264886,1.001174697,0.454501505,15.62528063,0.001353264,0.028259346,1
2722,XM_011664497.2,XM_011664497,2,1358.025546,1.090015108,0.326058536,16.07729323,0.001093348,0.024258665,1
2772,XM_776937.5,XM_776937,5,6738.748861,1.146258147,0.329445793,18.64439584,0.000323811,0.009741766,1
2853,XM_030973881.1,XM_030973881,1,62.54436307,0.934209775,0.326801996,17.22692893,0.000634709,0.015867732,1
2904,XM_011675026.2,XM_011675026,2,353.1585699,0.822511865,0.327746896,21.31490712,9.06E-05,0.003737856,1
3425,XM_030990778.1,XM_030990778,1,164.1048109,1.274807471,0.206763042,71.57382448,1.96E-15,3.49E-12,1
3452,XM_030992705.1,XM_030992705,1,298.611723,1.014771176,0.215805034,51.60188865,3.64E-11,2.15E-08,1
3493,NM_001129814.1,NM_001129814,1,255.5390594,-1.105589855,0.228828128,33.24386648,2.86E-07,4.62E-05,1
3546,XM_011678787.2,XM_011678787,2,1662.192223,0.696428354,0.282156819,21.68113016,7.60E-05,0.003290011,1
3796,XM_791638.5,XM_791638,5,874.960224,0.402191904,0.288035919,21.26695025,9.27E-05,0.003737856,1
3940,XM_030975807.1,XM_030975807,1,162.1112155,0.282540571,0.202840392,20.22428945,0.00015251,0.005205858,1
4194,XR_004063272.1,XR_004063272,1,27914.48403,1.596284237,0.406625085,18.04320699,0.000430916,0.011951187,1
4238,XM_030987101.1,XM_030987101,1,19.64351799,-1.882670236,0.569615669,16.75604939,0.000793258,0.018526741,1
4510,XM_001177297.3,XM_001177297,3,96.71069958,0.832040153,0.332043928,16.82228941,0.000768776,0.018194365,1
4593,XM_011675147.2,XM_011675147,2,5119.729014,0.846856019,0.312542921,16.3283456,0.000971078,0.022098249,1
4627,XM_782899.4,XM_782899,4,91.50276629,0.831539489,0.245974972,25.35863252,1.30E-05,0.000887581,1
4699,XM_030981575.1,XM_030981575,1,933.9198886,1.031878552,0.294572834,22.51026212,5.11E-05,0.002450371,1
4905,NM_214576.3,NM_214576,3,224.2484053,1.495338953,0.393831903,17.22779629,0.000634448,0.015867732,1
5409,XM_030996837.1,XM_030996837,1,151.0274397,1.567538734,0.424509837,20.90960041,0.000109926,0.004151476,1
5670,XM_785828.5,XM_785828,5,106.344959,0.572454193,0.242171447,20.46683115,0.00013583,0.004821963,1
5819,XM_030999610.1,XM_030999610,1,269.1719093,0.332837743,0.292769547,17.0316511,0.000696228,0.016928828,1
5858,XM_030991493.1,XM_030991493,1,86.91546754,0.988847146,0.324525252,18.19752319,0.000400457,0.011846859,1
5973,XM_030976663.1,XM_030976663,1,16.10320633,-2.190447736,0.769673098,20.13236153,0.000159351,0.005336768,1
6143,XM_030973879.1,XM_030973879,1,2395.897641,1.27326407,0.2564084,36.70859582,5.30E-08,9.41E-06,1
6288,XM_003726257.3,XM_003726257,3,94.98503635,0.729112008,0.262277542,37.79662629,3.12E-08,6.16E-06,1
6389,XM_030972759.1,XM_030972759,1,6125.031793,1.163110433,0.338592653,22.26949751,5.73E-05,0.002677819,1
6518,XM_030973206.1,XM_030973206,1,767.5392602,0.931309716,0.172013524,43.66649077,1.78E-09,7.88E-07,1
6712,XM_030976377.1,XM_030976377,1,23.9719711,1.341788396,0.924489991,27.53763765,4.54E-06,0.000403032,1
6754,XM_030998719.1,XM_030998719,1,22.20395268,1.781917792,1.215440883,18.0693718,0.000425594,0.011951187,1
6810,XR_004065897.1,XR_004065897,1,28.26677578,0.825208217,0.570483838,14.25942477,0.002572478,0.04909837,1
