"","Stage.x","Beaker","mean.blast.per.mL","blast.se.prop","Stage.y","mean.gast.per.mL","gast.se.prop","Stage.x.x","Treatment.x.x","mean.earlyplut.per.mL","earlyplut.se.prop","MatePair","Stage.y.y","mean.plut.per.mL","plut.se.prop"
"1","Blastula","A_B1",29.8,1.23333333333333,"Gastrula",18.8,1.12743563501918,"Early_plut","Control",9.8,0.706320670013903,1,"Pluteus",14.2,1.30341431973448
"2","Blastula","A_B2",39.6,1.32329554941861,"Gastrula",21.2,0.76303487615064,"Early_plut","100 ppb",9.4,0.683942817622773,1,"Pluteus",13.4,0.667499479816693
"3","Blastula","A_B3",36,1.69967317119759,"Gastrula",20.8,0.805536398239638,"Early_plut","500 ppb",9,0.806225774829855,1,"Pluteus",15.2,0.991071249821234
"4","Blastula","A_B4",19.2,0.933333333333333,"Gastrula",20.2,1.27758452644912,"Early_plut","1000 ppb",6.2,0.504424865014052,1,"Pluteus",10.8,0.819213715162967
"5","Blastula","A_B5",22,1.20185042515466,"Gastrula",11.6,0.646357314322177,"Early_plut","Control",5.8,0.657436097443867,2,"Pluteus",8.6,0.7
"6","Blastula","A_B6",18.4,1.38082101181387,"Gastrula",12.2,0.604611904907235,"Early_plut","100 ppb",4.8,0.452155332208351,2,"Pluteus",5,0.372677996249965
"7","Blastula","A_B7",16.8,0.52068331172711,"Gastrula",6.4,0.66332495807108,"Early_plut","500 ppb",0.8,0.163299316185545,2,"Pluteus",3.8,0.546707315561891
"8","Blastula","A_B8",16.8,0.52068331172711,"Gastrula",0.4,0.133333333333333,"Early_plut","1000 ppb",0,0,2,"Pluteus",0,0
"9","Blastula","B_B10",20.2,1.27758452644912,"Gastrula",14.4,1.17189305541646,"Early_plut","100 ppb",8.6,0.731057073315377,3,"Pluteus",13.2,0.896908269804914
"10","Blastula","B_B11",21.2,1.29271462864435,"Gastrula",18.4,1.07289846262874,"Early_plut","500 ppb",8.6,0.731057073315377,3,"Pluteus",14,1.26491106406735
"11","Blastula","B_B12",13.8,1.15902257671425,"Gastrula",14.6,0.633333333333333,"Early_plut","1000 ppb",8.6,0.731057073315377,3,"Pluteus",13.2,1.03494497975067
"12","Blastula","B_B13",15.8,0.657436097443867,"Gastrula",22,1.23827837473378,"Early_plut","Control",8.6,0.731057073315377,4,"Pluteus",9,0.542627353203324
"13","Blastula","B_B14",15.6,0.85374989832438,"Gastrula",0.6,0.152752523165195,"Early_plut","100 ppb",3.6,0.2,4,"Pluteus",2.8,0.371184290855335
"14","Blastula","B_B15",14.8,0.561743318211757,"Gastrula",12.6,0.472581562625261,"Early_plut","500 ppb",10.6,0.89504810547317,4,"Pluteus",9.2,1.04562580942387
"15","Blastula","B_B16",9.6,0.611010092660779,"Gastrula",20.4,0.97524925588852,"Early_plut","1000 ppb",11.2,0.90921211313239,4,"Pluteus",11.8,0.62271805640898
"16","Blastula","B_B9",19.2,1.4,"Gastrula",16.8,0.858939915115008,"Early_plut","Control",8.6,0.731057073315377,3,"Pluteus",15,1.11803398874989
