UniqueCount	AmbigCount
169	0
134	0
0	6
39	0
0	0
11	19
0	0
7	0
1	0
0	0
0	27
10	6
0	1
3	0
0	0
6	287
0	287
0	2
258	75
0	0
0	0
3	0
95	0
112	0
1	0
0	4
9	0
20	2
0	0
1	3
0	3
0	12
75	23
1350	0
0	6
0	0
0	0
89	0
0	2
0	0
5	0
0	0
0	0
0	0
0	0
3	139
0	0
0	0
0	0
0	117
0	0
0	0
0	0
0	0
0	0
0	5
0	1
0	0
0	1
0	0
0	0
14	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
116	0
0	0
0	0
5	0
0	2
0	0
0	0
0	0
0	16
0	0
0	0
3	5
0	0
5	2
0	0
0	0
0	2
7	0
2531	0
183	0
1	0
0	0
36	0
184	15
0	80
0	9
5	0
1	0
304	0
0	0
10	409
0	0
224	0
2	0
33	10
355	0
0	0
0	0
0	0
2	19
120	17
0	0
2376	0
0	1
0	0
0	0
0	1
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	20
0	0
3	64
2	2
0	3
50	0
0	0
2	0
0	0
2	0
555	0
37	0
0	0
0	0
0	0
11	0
0	0
0	1
0	0
0	0
0	0
34	0
0	0
0	0
0	4
0	0
5	0
0	0
0	0
0	0
0	25
16	0
0	0
0	0
0	0
0	0
1	2
0	21
7	10
0	4
1112	0
0	120
0	0
0	0
4	14
0	0
0	0
0	0
37	95
0	1
1	29
110	0
2	0
1	0
0	0
0	216
0	0
0	0
0	0
0	0
56	0
0	1
0	0
0	0
0	17
0	4
0	2
6	0
0	1
3	0
0	0
0	2
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	174
3	122
8	135
0	29
0	0
0	1
687	57
23	0
83	0
6	0
0	0
8	0
0	2
0	29
0	0
0	22
4	0
7	0
0	0
10	0
10	102
0	0
0	0
0	0
1	0
0	10
0	0
0	6
0	0
0	0
4	0
4	0
1	0
0	0
0	0
385	109
13	0
0	0
7	0
0	0
0	0
10	122
4	11
0	0
1	3
4	14
277	0
11	0
0	0
0	0
24	85
0	2
5	0
0	0
0	0
0	0
0	0
0	4
16	0
0	3716
11	101
0	0
6	0
176	31
0	5
6	3
0	0
0	0
0	0
0	12
575	0
5	0
0	0
0	0
0	38
0	5
0	0
0	0
0	0
0	0
12	0
0	0
23	128
0	0
13	0
0	0
0	1
47	0
4	11
0	0
0	0
0	0
0	0
2	1
0	1
0	1
0	1
143	139
0	0
81	329
747	549
227	0
1	0
1	0
0	287
15	0
0	0
5	3
12	0
218	0
10	0
0	0
0	0
0	0
1	2
31	1
312	0
881	0
254	0
3	1
0	0
0	0
3	0
3	22
0	22
1	3
0	0
0	0
70	0
0	817
0	0
0	8
17	0
80	0
17	0
0	0
0	0
19	649
0	15
25	146
0	20
0	1
0	0
11	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
5	126
3	12
25	42
0	5
1	0
0	11
4	0
1	3
0	0
0	0
0	1
3	2
0	22
5	0
0	0
3	0
0	0
0	0
14	0
0	0
1	285
0	0
1	0
0	0
1	0
49	0
0	0
0	142
0	109
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	7
1	62
0	0
2	0
0	2
14	0
0	3
16	0
11	0
17	0
0	0
153	0
0	7
0	0
1	0
116	16
0	141
0	0
0	6
0	0
0	0
27	1
2	0
0	0
74	179
0	0
2	0
397	83
56	0
1	0
0	18
3	0
0	18
119	0
57	84
6	2
3	0
1	0
0	0
4	4
1	0
0	0
0	0
0	0
3	0
0	0
2	17
0	2767
14	0
3	13
36	0
0	2767
0	0
0	1
2	0
0	0
5	0
4	3
273	0
1	0
6	0
0	33
88	0
79	112
4	109
0	0
0	7
0	0
0	2
0	0
0	0
1	3
0	0
12	5
0	7
1	0
0	0
24	0
0	2
38	293
0	0
0	0
6	0
44	38
0	0
34	0
0	0
0	0
31	0
3	0
0	2
2	0
3	0
0	6
29	8
1	0
246	0
60	68
10	0
18	0
21	175
5	0
0	44
17	0
9	7
33	0
0	0
10	0
41	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	0
0	19
18	11
1	0
2	0
1	0
0	0
0	0
17	0
0	0
5	5
0	0
0	0
3	0
0	1
0	0
0	0
0	4
11	0
0	3
0	0
0	0
14	0
0	0
1486	1112
0	1
104	0
4	0
0	0
0	0
0	0
0	15
0	0
28	0
2	0
178	0
0	0
0	2
0	0
1	0
0	0
1	4
0	0
0	1
0	0
29	0
2	0
0	0
1	0
0	0
0	3
0	0
3	0
0	0
0	30
0	0
0	5
0	0
7	148
0	0
0	5
27	0
0	0
0	0
220	0
1	0
0	0
0	0
0	0
0	0
3	0
6	0
1	11
0	2
6	0
1	0
45	58
0	2
0	2
0	6
0	0
0	0
0	8
13	0
0	0
0	0
1	0
0	0
73	0
0	0
6	17
25	0
0	0
0	0
0	6
31	0
0	0
0	26
0	0
0	0
0	0
6	0
0	0
4	0
0	0
14	0
0	0
0	0
5	0
0	1
11	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
44	0
1	4
3	0
3	0
0	0
0	0
13	0
2	0
0	0
0	0
0	1
9	0
0	0
5	0
0	2
0	0
0	0
0	0
0	1
3	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
0	56
0	0
0	1
13	0
6	0
0	2
0	0
0	0
0	3
0	3
0	0
1	0
3	0
0	0
2	0
9	0
0	0
0	0
0	0
0	0
