UniqueCount	AmbigCount
333	0
155	0
0	1
40	0
0	0
31	27
0	0
50	0
1	0
0	0
0	0
0	3
0	0
16	0
1	1
3	33
3	33
0	8
38	107
0	0
0	0
5	0
47	0
8	0
1	0
0	3
2	0
0	0
9	0
20	5
0	4
0	0
41	5
238	0
0	3
3	0
0	2
62	0
0	0
0	0
0	0
0	0
1	1
0	0
0	3
4	33
0	3
0	0
0	0
0	4
0	1
0	0
0	0
43	0
0	0
2	4
0	1
0	0
0	0
4	0
0	0
15	0
0	4
0	0
0	0
0	0
14	0
0	0
0	0
59	0
1	0
0	1
27	0
0	0
0	0
0	0
0	2
0	5
0	0
0	0
1	8
0	0
23	12
0	0
0	0
0	2
11	0
16631	0
1245	0
0	0
0	0
344	0
1087	112
0	35
0	14
1	0
0	0
101	0
0	0
10	716
0	0
905	0
8	0
0	1
564	0
0	0
0	0
0	0
0	7
3	2
3	0
1759	0
0	0
0	0
0	0
0	2
0	3
0	0
0	0
0	0
0	2
0	0
0	0
0	0
1	0
3	6
0	0
0	23
1	4
0	0
1	0
1	0
3	0
0	0
0	0
1214	0
79	0
0	1
0	2
0	1
10	0
0	0
0	1
0	0
0	0
0	1
15	0
0	0
0	0
5	0
1	0
3	0
0	0
0	0
0	0
0	26
14	0
0	1
1	0
22	0
3	0
2	5
2	14
6	8
0	0
7488	0
0	440
0	0
0	2
1	6
0	0
0	0
1	0
290	633
0	1
0	51
58	0
2	0
0	0
0	0
0	144
0	0
0	0
0	0
0	0
133	0
0	5
0	0
0	1
0	9
0	0
0	2
1	0
0	0
0	0
0	0
9	63
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
173	1
0	1
0	5
0	0
0	0
0	210
8	145
3	269
0	27
0	0
0	1
300	78
38	0
172	0
8	0
0	0
14	0
0	2
0	27
0	0
1	36
0	0
1	0
0	0
9	0
129	1178
0	0
0	0
0	0
0	1
0	6
3	0
0	13
0	0
0	0
5	0
9	0
3	4
0	0
0	0
481	190
13	0
0	0
0	0
0	0
0	0
3	28
0	0
0	0
1	7
4	12
1476	0
5	0
2	0
0	0
22	123
2	8
65	0
0	0
2	0
6	31
0	1
0	6
62	0
0	1982
15	1208
0	0
4	0
4	0
0	3
0	0
0	0
0	0
0	0
0	0
74	0
0	0
0	3
0	0
0	7
0	0
0	0
0	0
0	0
0	0
14	0
0	0
43	176
1	0
34	0
11	0
0	0
524	0
0	1
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
104	33
0	0
161	809
1650	4088
5094	0
0	0
17	0
0	33
7	1
2	0
0	2
9	0
333	0
12	0
0	0
0	0
0	0
0	0
116	7
1	0
43	0
93	0
285	615
0	1
0	0
0	0
3	4
0	16
1	2
1	3
0	0
38	0
0	2298
2	0
10	83
9	0
191	0
26	0
0	0
0	0
16	494
1	111
5	78
0	4
0	0
0	0
11	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
5	149
19	52
5	8
0	5
1	0
0	1
77	0
0	1
0	0
0	0
0	10
5	3
1	14
6	1
0	1
20	1
0	0
0	0
0	0
0	0
0	115
3	0
0	0
0	0
8	0
76	0
0	0
0	25
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	21
0	1
0	0
5	0
0	0
14	0
0	0
11	0
14	0
182	0
0	2
128	0
10	11
5	0
0	0
170	21
0	1
0	0
0	16
0	0
0	0
27	0
0	0
4	14
0	0
0	2
21	0
1188	41
96	0
0	0
0	7
0	0
0	132
134	0
120	74
0	0
0	0
1	0
0	0
1	5
19	0
0	0
0	0
1	0
1	0
0	0
1	14
0	5701
7	0
0	0
263	1
0	5701
0	1
0	6
18	0
0	0
50	0
12	15
482	0
0	0
15	0
0	126
15	0
5	14
3	142
0	0
0	0
1	0
1	4
0	0
27	17
0	14
0	0
0	0
0	12
168	0
0	0
110	0
0	0
19	193
3	0
6	0
10	0
107	102
0	0
13	0
0	0
0	0
24	0
66	0
1	0
14	0
10	0
0	20
23	20
40	0
341	0
1	1
4	0
21	0
8	133
0	0
0	3
2	0
39	12
179	0
0	0
0	0
21	0
1	0
1	0
0	0
54	0
0	0
0	0
1	0
7	0
0	0
0	0
81	0
0	2
13	19
1	0
0	0
16	0
2	0
0	0
70	0
0	0
11	0
0	0
0	0
21	0
0	0
0	0
0	0
0	3
8	0
0	42
0	0
1	0
8	0
0	0
1531	600
0	0
63	0
28	0
0	1
0	0
2	0
0	3
0	0
359	0
0	0
27	0
1	0
0	0
0	0
2	0
0	0
0	15
0	0
0	0
0	2
47	0
0	1
0	0
3	0
0	0
0	2
0	0
11	0
0	0
0	25
0	9
0	0
0	0
2	343
6	0
0	46
181	0
3	0
0	0
258	0
26	0
0	0
0	0
0	0
0	0
5	0
0	0
0	1
0	7
12	0
3	0
27	20
0	0
0	2
1	0
0	0
23	0
0	1
23	0
