"","X.1","X","transcript","version","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","ensembl_gene_id","description"
"1",3,"XR_973839.2","XR_973839",2,179.3146885,0.954372027,0.231118779,31.91001929,5.47e-07,8.02e-05,1,"LOC754314","uncharacterized LOC754314"
"2",24,"XR_972543.2","XR_972543",2,66.34807001,-0.52928436,0.497250456,16.91822326,0.000734645,0.017621551,1,"LOC105442870","uncharacterized LOC105442870"
"3",36,"XR_972005.2","XR_972005",2,109.1122228,1.122403492,0.270533382,31.59621792,6.37e-07,8.02e-05,1,"LOC105441402","uncharacterized LOC105441402"
"4",73,"XR_143788.3","XR_143788",3,1483.829865,-0.095419007,0.462476576,19.79853206,0.000186867,0.006142399,1,"LOC753066","developmentally-regulated ectodermal protein"
"5",78,"XR_143688.3","XR_143688",3,216.7127549,0.91307732,0.200326505,52.54627733,2.29e-11,2.03e-08,1,"LOC575048","uncharacterized LOC575048, transcript variant X2"
"6",344,"XM_030984863.1","XM_030984863",1,31.94928906,1.038540383,0.390952219,15.97392167,0.00114803,0.024850655,1,"LOC586618","WW domain-binding protein 11"
"7",378,"XM_030984544.1","XM_030984544",1,293.5653733,1.174423762,0.400773226,15.27359238,0.001597161,0.032585765,1,"LOC105445861","ATP synthase subunit f, mitochondrial-like"
"8",614,"XM_030983020.1","XM_030983020",1,1874.706326,0.590681466,0.251927839,26.08216067,9.17e-06,0.000707453,1,"LOC105441189","40S ribosomal protein S21"
"9",830,"XM_030992723.1","XM_030992723",1,1873.40646,0.534576685,0.171058549,25.27872061,1.35e-05,0.000887581,1,"LOC579559","60S ribosomal protein L12"
"10",833,"XM_778407.5","XM_778407",5,406.2581113,0.723794573,0.273219727,31.46814362,6.77e-07,8.02e-05,1,"LOC578220","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit dad1, transcript variant X2"
"11",1242,"XM_779323.5","XM_779323",5,60.00447425,0.762632082,0.280300786,18.09342887,0.000420759,0.011951187,1,"LOC579195","protein RER1"
"12",1243,"NM_001242650.1","NM_001242650",1,3997.722678,0.420360275,0.164606218,30.35207721,1.16e-06,0.000121499,1,"GeneID_574853","ribosomal protein L36"
"13",1362,"XM_011680115.2","XM_011680115",2,1330.763969,0.362121806,0.234330507,15.88534955,0.001197038,0.025599306,1,"LOC581803","60S ribosomal protein L11"
"14",1799,"XR_004065900.1","XR_004065900",1,23.41440186,0.86024458,0.540070717,22.59412536,4.91e-05,0.002419159,1,"LOC115928123","uncharacterized LOC115928123, transcript variant X2"
"15",1928,"XM_030979044.1","XM_030979044",1,1666.344872,0.93184262,0.279099493,20.35376241,0.000143367,0.004989726,1,"LOC592738","40S ribosomal protein S24"
"16",2347,"XM_001176097.4","XM_001176097",4,232.186773,0.535829658,0.222761243,29.33421885,1.91e-06,0.000177967,1,"LOC576727","protein transport protein Sec61 subunit beta"
"17",2452,"XR_004066239.1","XR_004066239",1,2585.013614,1.215472347,0.449603967,20.68628758,0.000122309,0.004522895,1,"LOC575346","uncharacterized LOC575346"
"18",2698,"XR_004064036.1","XR_004064036",1,49.12264886,1.001174697,0.454501505,15.62528063,0.001353264,0.028259346,1,"LOC115923665","uncharacterized LOC115923665"
"19",2722,"XM_011664497.2","XM_011664497",2,1358.025546,1.090015108,0.326058536,16.07729323,0.001093348,0.024258665,1,"GeneID_574895","ribosomal protein S14"
"20",2772,"XM_776937.5","XM_776937",5,6738.748861,1.146258147,0.329445793,18.64439584,0.000323811,0.009741766,1,"LOC576654","40S ribosomal protein S26, transcript variant X2"
"21",2853,"XM_030973881.1","XM_030973881",1,62.54436307,0.934209775,0.326801996,17.22692893,0.000634709,0.015867732,1,"LOC754976","protein transport protein Sec61 subunit beta"
"22",2904,"XM_011675026.2","XM_011675026",2,353.1585699,0.822511865,0.327746896,21.31490712,9.06e-05,0.003737856,1,"LOC579345","cytochrome c oxidase subunit 5A, mitochondrial, transcript variant X1"
"23",3425,"XM_030990778.1","XM_030990778",1,164.1048109,1.274807471,0.206763042,71.57382448,1.96e-15,3.49e-12,1,"LOC762428","10 kDa heat shock protein, mitochondrial"
