"","X.1","X","transcript","version","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","ensembl_gene_id","description"
"1",38,"XR_971323.2","XR_971323",2,90.55252157,-0.489516657,0.554308396,14.34711207,0.002468802,0.038034978,1,"LOC105439540","uncharacterized LOC105439540"
"2",170,"XM_011682841.2","XM_011682841",2,387.5405595,0.471231358,0.183742046,28.3192508,3.11e-06,0.000219219,1,"LOC100892690","galectin-3-binding protein"
"3",332,"XM_781556.5","XM_781556",5,139.3483626,-0.775336304,0.235578223,22.87556183,4.29e-05,0.002348215,1,"LOC581567","uncharacterized protein C1orf194 homolog"
"4",505,"XM_030983020.1","XM_030983020",1,9639.149204,-0.356216689,0.320937983,13.51750864,0.003641203,0.049738706,1,"LOC105441189","40S ribosomal protein S21"
"5",666,"XM_030981950.1","XM_030981950",1,2375.000921,-0.230623039,0.176918791,18.59810673,0.000331019,0.010199534,1,"LOC584812","40S ribosomal protein S7"
"6",871,"XM_030980614.1","XM_030980614",1,1852.028674,-0.583338012,0.204771415,52.23575865,2.67e-11,1.32e-08,1,"LOC115922215","60S ribosomal protein L31-like"
"7",1561,"XM_030979044.1","XM_030979044",1,7163.55318,-0.332100153,0.239067767,15.32151468,0.001561521,0.029608835,1,"LOC592738","40S ribosomal protein S24"
"8",2499,"XM_011662433.2","XM_011662433",2,1342.69424,-1.992789697,0.612932786,21.1427365,9.83e-05,0.004738198,1,"LOC105436651","60S ribosomal protein L14-like, transcript variant X1"
"9",2588,"XM_030991923.1","XM_030991923",1,5092.922378,-0.226911208,0.23199896,16.66953045,0.000826404,0.020370865,1,"LOC588157","60S ribosomal protein L23a"
"10",3536,"XM_001200305.4","XM_001200305",4,157.0788374,-0.226198038,0.31053999,13.80037993,0.003189855,0.046406048,1,"LOC764101","protein LLP homolog"
"11",4577,"XM_030984515.1","XM_030984515",1,4743.498834,-0.389043395,0.189471225,28.4180338,2.97e-06,0.000219219,1,"LOC373246","60S ribosomal protein L18"
